Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,1174.90,1174.90,1120.00,1126.00,2270800,1126.00
2012-03-23,1188.80,1202.50,1152.20,1182.05,2796000,1182.05
2012-03-21,1185.00,1242.95,1183.15,1241.60,2270000,1241.60
2012-03-20,1200.00,1221.25,1180.10,1183.15,2177400,1183.15
2012-03-19,1227.95,1238.00,1188.55,1199.80,1813000,1199.80
2012-03-16,1234.50,1279.50,1203.45,1217.00,2822800,1217.00
2012-03-15,1275.00,1276.00,1233.60,1240.00,1899100,1240.00
2012-03-14,1265.00,1283.70,1258.25,1274.20,2705600,1274.20
2012-03-13,1240.00,1248.50,1236.35,1240.50,1822400,1240.50
2012-03-12,1250.00,1257.65,1213.15,1221.70,1940800,1221.70
2012-03-09,1189.00,1219.00,1185.00,1213.95,2372800,1213.95
2012-03-07,1140.00,1169.95,1130.75,1166.00,2248300,1166.00
2012-03-06,1148.90,1200.00,1105.75,1138.10,3914600,1138.10
2012-03-05,1165.00,1169.00,1142.75,1150.00,1367500,1150.00
2012-03-02,1164.95,1208.90,1144.45,1163.80,3018400,1163.80
2012-03-01,1175.00,1175.00,1132.40,1141.95,1577800,1141.95
2012-02-29,1190.00,1209.55,1160.25,1179.00,2541000,1179.00
2012-02-28,1129.50,1188.00,1120.15,1170.00,3138100,1170.00
2012-02-27,1185.00,1187.85,1105.00,1106.00,3051500,1106.00
2012-02-24,1217.80,1246.55,1176.15,1187.50,3045600,1187.50
2012-02-23,1210.00,1245.00,1196.00,1220.00,3100100,1220.00
2012-02-22,1286.30,1293.40,1204.00,1208.00,3142700,1208.00
2012-02-21,1269.00,1308.45,1268.15,1282.35,2033100,1282.35
2012-02-17,1248.00,1295.00,1240.00,1277.60,2929400,1277.60
2012-02-16,1205.15,1235.00,1195.00,1233.00,2528000,1233.00
2012-02-15,1142.00,1230.00,1140.10,1210.00,3528100,1210.00
2012-02-14,1118.00,1133.00,1111.25,1128.05,1393200,1128.05
2012-02-13,1120.00,1127.75,1108.50,1116.00,1476600,1116.00
2012-02-10,1126.00,1143.90,1101.90,1111.80,1661400,1111.80
2012-02-09,1114.70,1141.80,1106.25,1138.00,2307000,1138.00
2012-02-08,1118.00,1141.15,1102.65,1124.00,2967000,1124.00
2012-02-07,1124.90,1124.90,1099.00,1112.10,1716600,1112.10
2012-02-06,1114.00,1118.40,1097.95,1110.05,2882400,1110.05
2012-02-03,1076.70,1109.35,1061.20,1090.00,2119600,1090.00
2012-02-02,1094.00,1108.70,1063.55,1070.15,2806600,1070.15
2012-02-01,1074.50,1092.30,1053.30,1088.40,2227500,1088.40
2012-01-31,1035.00,1088.00,1030.95,1085.05,2203100,1085.05
2012-01-30,1069.80,1069.80,1017.30,1021.00,2010400,1021.00
2012-01-27,1074.00,1079.40,1056.35,1076.00,2779400,1076.00
2012-01-25,1038.80,1075.90,1020.55,1054.00,4449900,1054.00
2012-01-24,997.00,1046.00,984.05,1020.90,7011900,1020.90
2012-01-23,1017.00,1037.80,990.80,994.85,3594400,994.85
2012-01-20,962.10,1020.00,955.45,1018.00,4924500,1018.00
2012-01-19,945.00,961.20,943.25,953.90,1778200,953.90
2012-01-18,964.00,968.95,930.10,931.80,1841200,931.80
2012-01-17,943.00,979.90,943.00,960.95,2652500,960.95
2012-01-16,934.00,939.00,917.10,939.00,1981400,939.00
2012-01-13,948.85,955.95,928.55,938.55,2400800,938.55
2012-01-12,931.00,968.45,926.95,942.00,3551900,942.00
2012-01-11,898.00,947.45,893.10,943.50,3106400,943.50
2012-01-10,869.00,897.00,866.10,894.50,1965400,894.50
2012-01-06,862.80,866.00,836.30,852.60,2469000,852.60
2012-01-05,849.00,878.80,845.05,869.05,3380200,869.05
2012-01-04,844.80,856.00,831.90,848.00,3387300,848.00
2012-01-03,805.10,841.90,803.65,841.00,2142000,841.00
2012-01-02,810.00,815.00,784.00,794.60,1945400,794.60
2011-12-30,816.00,827.45,803.30,806.00,2032500,806.00
2011-12-29,824.45,837.90,808.00,809.80,2785000,809.80
2011-12-28,841.00,841.00,820.10,830.05,1947100,830.05
2011-12-27,872.40,872.80,839.80,844.00,1742200,844.00
2011-12-26,880.00,891.00,867.00,869.00,1706600,869.00
2011-12-23,885.00,896.00,865.65,880.30,2932300,880.30
2011-12-22,842.25,878.30,840.40,878.00,3090800,878.00
2011-12-21,845.20,859.00,832.35,853.30,2397800,853.30
2011-12-20,857.70,857.70,808.85,819.05,3895700,819.05
2011-12-19,897.95,897.95,828.00,850.65,3714200,850.65
2011-12-16,955.00,964.00,895.00,901.40,4109400,901.40
2011-12-15,948.00,952.15,934.00,951.40,2268600,951.40
2011-12-14,959.00,981.00,950.55,962.45,2421800,962.45
2011-12-13,962.00,974.00,940.35,972.00,2545600,972.00
2011-12-12,1005.00,1008.00,967.25,967.30,1516300,967.30
2011-12-09,981.35,1012.90,978.20,989.00,2175500,989.00
2011-12-08,1035.00,1041.95,995.00,999.00,2323200,999.00
2011-12-07,1033.00,1052.45,1029.45,1037.00,1873900,1037.00
2011-12-05,1005.00,1036.05,992.60,1031.30,2508500,1031.30
2011-12-02,978.65,1012.00,965.55,1011.30,2623900,1011.30
2011-12-01,985.10,998.70,963.10,971.80,2635100,971.80
2011-11-30,961.00,974.80,936.00,949.15,2602800,949.15
2011-11-29,993.00,1001.70,965.25,973.00,1970000,973.00
2011-11-28,981.20,997.00,974.60,989.00,1553000,989.00
2011-11-25,954.95,977.85,945.45,962.00,1811800,962.00
2011-11-24,940.00,964.70,935.65,964.70,3037800,964.70
2011-11-23,937.00,942.80,921.10,940.45,2621000,940.45
2011-11-22,951.50,958.90,930.30,944.00,3334100,944.00
2011-11-21,960.00,971.20,943.15,947.40,1995200,947.40
