Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,403.00,405.45,396.55,402.05,1925700,402.05
2012-03-23,396.50,407.00,396.50,402.70,3300800,402.70
2012-03-21,395.20,404.50,395.10,403.60,3610300,403.60
2012-03-20,395.10,398.90,392.65,395.50,2100500,395.50
2012-03-19,391.00,399.70,387.75,394.40,2963400,394.40
2012-03-16,389.90,391.95,383.15,391.00,2672900,391.00
2012-03-15,383.70,390.00,382.10,389.15,2310900,389.15
2012-03-14,384.80,386.00,380.60,382.15,1316600,382.15
2012-03-13,381.00,385.80,380.60,381.90,890900,381.90
2012-03-12,383.50,385.00,380.00,380.70,766400,380.70
2012-03-09,387.85,388.10,381.00,382.90,1401000,382.90
2012-03-07,381.25,386.00,378.30,385.60,1118500,385.60
2012-03-06,380.10,386.40,378.10,380.30,1464000,380.30
2012-03-05,380.00,383.25,377.20,382.05,765900,382.05
2012-03-02,379.65,383.65,376.50,382.65,1316600,382.65
2012-03-01,379.50,382.90,377.30,379.30,1603500,379.30
2012-02-29,382.15,386.85,378.85,381.00,4159300,381.00
2012-02-28,380.65,384.00,380.05,381.00,2574000,381.00
2012-02-27,388.85,390.80,377.60,380.00,2232300,380.00
2012-02-24,389.75,390.40,383.55,386.50,1728400,386.50
2012-02-23,377.15,389.45,377.15,388.00,2728100,388.00
2012-02-22,381.00,383.50,376.10,378.40,2030500,378.40
2012-02-21,386.80,388.40,381.05,382.05,2314400,382.05
2012-02-17,385.55,388.00,381.20,386.60,3128000,386.60
2012-02-16,389.00,389.00,383.10,383.35,1472700,383.35
2012-02-15,393.75,393.75,385.00,388.10,2772600,388.10
2012-02-14,391.20,393.00,388.50,392.70,1096300,392.70
2012-02-13,388.40,393.70,387.10,391.20,1329600,391.20
2012-02-10,393.00,395.00,385.75,387.20,1192700,387.20
2012-02-09,385.30,394.70,385.30,393.15,1611200,393.15
2012-02-08,383.00,389.90,382.50,388.90,2952800,388.90
2012-02-07,388.00,388.00,378.00,382.10,6607800,382.10
2012-02-06,405.90,410.90,384.60,388.55,8152500,388.55
2012-02-03,392.25,403.95,391.05,402.00,3661700,402.00
2012-02-02,386.00,393.45,385.20,390.80,3401900,390.80
2012-02-01,379.75,386.35,377.15,385.05,3629900,385.05
2012-01-31,384.00,384.00,374.35,379.75,5410000,379.75
2012-01-30,388.00,390.90,380.00,381.00,3357800,381.00
2012-01-27,399.95,399.95,384.10,391.00,3014500,391.00
2012-01-25,393.50,399.10,389.25,399.00,3214700,399.00
2012-01-24,399.40,399.45,392.00,392.60,1785300,392.60
2012-01-23,391.15,402.65,388.70,395.05,2009300,395.05
2012-01-20,392.00,393.65,389.35,390.35,1944300,390.35
2012-01-19,394.00,395.30,388.00,391.00,1924200,391.00
2012-01-18,399.50,399.50,388.50,391.55,1875300,391.55
2012-01-17,387.60,399.00,385.70,397.30,3985300,397.30
2012-01-16,391.00,391.00,385.00,386.25,2898800,386.25
2012-01-13,393.90,394.60,390.20,392.00,2414800,392.00
2012-01-12,393.75,397.10,388.50,393.50,2145200,393.50
2012-01-11,396.85,398.70,391.35,392.45,1313100,392.45
2012-01-10,393.50,399.00,391.70,394.90,1818200,394.90
2012-01-06,393.75,399.65,388.35,398.65,1730200,398.65
2012-01-05,394.90,398.85,389.25,393.80,3679700,393.80
2012-01-04,407.60,407.60,392.75,395.80,2571900,395.80
2012-01-03,405.25,411.70,405.25,407.60,1521300,407.60
2012-01-02,408.15,410.00,401.50,404.00,772800,404.00
2011-12-30,414.90,414.95,405.35,406.25,1008700,406.25
2011-12-29,411.75,416.75,407.10,414.50,3064200,414.50
2011-12-28,416.95,418.00,410.70,411.40,2100900,411.40
2011-12-27,419.00,420.05,415.05,417.00,1805200,417.00
2011-12-26,411.95,420.25,411.80,419.00,3210700,419.00
2011-12-23,410.00,414.90,408.50,412.20,2478500,412.20
2011-12-22,401.00,412.50,399.25,408.55,3480800,408.55
2011-12-21,402.00,404.65,397.60,400.55,2958300,400.55
2011-12-20,396.60,402.90,394.50,397.00,1722700,397.00
2011-12-19,393.50,399.20,388.50,396.60,1861200,396.60
2011-12-16,395.50,405.00,388.00,390.95,2709200,390.95
2011-12-15,384.00,396.75,382.55,396.10,2848100,396.10
2011-12-14,385.05,392.45,382.40,383.60,1268500,383.60
2011-12-13,385.00,388.00,381.75,386.50,944600,386.50
2011-12-12,386.15,386.50,381.00,384.60,1926500,384.60
2011-12-09,390.40,390.95,384.65,385.10,1789100,385.10
2011-12-08,394.55,397.50,388.25,392.60,1886600,392.60
2011-12-07,395.00,400.05,393.40,396.00,1884000,396.00
2011-12-05,395.35,398.40,392.20,393.95,1116200,393.95
2011-12-02,393.40,397.40,391.35,396.10,2696700,396.10
2011-12-01,403.00,403.00,389.70,392.40,3180600,392.40
2011-11-30,387.80,401.00,387.10,395.00,4964800,395.00
2011-11-29,382.95,389.95,382.05,388.70,2414000,388.70
