Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,903.70,905.00,866.10,874.00,3935900,874.00
2012-03-23,906.80,923.40,897.10,914.65,3408300,914.65
2012-03-21,902.10,939.80,897.25,938.25,3540700,938.25
2012-03-20,909.75,922.00,900.05,905.00,2734400,905.00
2012-03-19,927.00,930.55,895.10,911.00,3157500,911.00
2012-03-16,936.00,953.90,910.45,915.00,4773700,915.00
2012-03-15,955.00,956.60,923.60,933.00,3189500,933.00
2012-03-14,946.80,957.60,944.65,954.80,5248300,954.80
2012-03-13,935.30,943.20,927.60,932.25,2798600,932.25
2012-03-12,944.00,944.00,919.05,928.15,5578900,928.15
2012-03-09,876.95,917.10,875.95,915.85,6051900,915.85
2012-03-07,851.00,867.90,843.45,861.45,6106900,861.45
2012-03-06,870.00,891.00,850.00,852.90,7898200,852.90
2012-03-05,896.80,896.80,868.55,871.00,4095000,871.00
2012-03-02,891.00,914.75,875.00,901.00,4204000,901.00
2012-03-01,902.50,902.50,870.10,881.00,4161600,881.00
2012-02-29,915.00,921.95,897.35,905.50,4991000,905.50
2012-02-28,896.00,919.80,895.20,909.90,4932000,909.90
2012-02-27,932.40,932.40,881.70,888.95,4923200,888.95
2012-02-24,941.20,943.90,918.10,933.50,4389700,933.50
2012-02-23,952.00,959.10,932.10,944.00,5656900,944.00
2012-02-22,990.00,990.00,951.25,961.60,4774600,961.60
2012-02-21,977.00,998.80,976.00,990.05,3251600,990.05
2012-02-17,984.80,997.30,975.50,983.00,4343400,983.00
2012-02-16,981.00,981.90,961.00,970.00,3176400,970.00
2012-02-15,952.10,986.95,952.10,979.20,5608300,979.20
2012-02-14,927.00,950.00,926.70,948.00,3963100,948.00
2012-02-13,929.00,945.80,919.00,930.55,4862300,930.55
2012-02-10,933.00,939.00,916.30,928.20,3979600,928.20
2012-02-09,916.10,944.75,913.15,944.40,5764000,944.40
2012-02-08,927.90,929.85,911.10,918.40,22410100,918.40
2012-02-07,939.70,946.20,926.00,939.30,3983400,939.30
2012-02-06,925.00,936.85,919.30,926.20,5841100,926.20
2012-02-03,904.00,918.75,892.10,915.30,4939800,915.30
2012-02-02,899.00,911.80,879.25,901.00,8497200,901.00
2012-02-01,908.00,910.35,878.00,889.00,7967000,889.00
2012-01-31,859.75,906.85,858.95,901.65,10270900,901.65
2012-01-30,877.00,881.25,848.00,850.80,4388700,850.80
2012-01-27,888.00,890.50,864.15,889.95,4594800,889.95
2012-01-25,891.80,895.00,869.30,875.45,5656100,875.45
2012-01-24,860.00,895.00,847.05,883.85,8473500,883.85
2012-01-23,843.00,871.60,843.00,856.00,4588000,856.00
2012-01-20,814.00,851.60,814.00,847.00,9647900,847.00
2012-01-19,780.50,801.90,780.50,800.00,4393100,800.00
2012-01-18,779.80,781.95,762.00,764.60,4425800,764.60
2012-01-17,800.00,804.40,783.40,785.00,4321200,785.00
2012-01-16,782.00,796.40,777.30,794.00,5080400,794.00
2012-01-13,787.80,809.70,780.80,790.00,5996900,790.00
2012-01-12,779.90,796.80,774.10,783.50,5013300,783.50
2012-01-11,778.10,790.00,773.15,781.50,4961200,781.50
2012-01-10,750.70,779.00,750.05,774.40,4043600,774.40
2012-01-06,742.00,763.00,728.00,754.20,4049800,754.20
2012-01-05,745.00,756.80,739.00,748.30,4218700,748.30
2012-01-04,733.40,749.00,730.40,741.75,5991300,741.75
2012-01-03,705.00,729.00,705.00,723.00,3363600,723.00
2012-01-02,690.15,699.50,685.10,696.25,2714100,696.25
2011-12-30,690.35,699.80,680.60,683.70,2546100,683.70
2011-12-29,691.40,701.00,677.20,680.85,4860100,680.85
2011-12-28,720.70,720.80,694.35,695.15,3731400,695.15
2011-12-27,727.10,734.00,721.35,722.95,3280700,722.95
2011-12-26,721.00,734.70,719.05,727.15,2573200,727.15
2011-12-23,728.40,734.40,714.30,721.00,5543300,721.00
2011-12-22,690.00,741.00,683.60,719.00,8809500,719.00
2011-12-21,675.90,709.00,671.65,703.50,7996400,703.50
2011-12-20,662.00,671.00,648.15,654.40,4702500,654.40
2011-12-19,672.00,672.00,641.00,655.90,6197600,655.90
2011-12-16,699.20,715.00,664.85,672.70,7712700,672.70
2011-12-15,698.00,705.90,689.05,698.05,5036700,698.05
2011-12-14,700.00,717.00,693.40,706.00,8219600,706.00
2011-12-13,700.00,712.50,690.15,709.30,5961600,709.30
2011-12-12,744.00,744.00,704.10,706.55,5670300,706.55
2011-12-09,731.00,741.95,722.10,733.60,7491300,733.60
2011-12-08,758.50,765.65,739.05,745.10,7180700,745.10
2011-12-07,784.00,785.90,764.60,764.60,6463900,764.60
2011-12-05,786.00,790.30,771.70,782.90,4704700,782.90
2011-12-02,765.30,792.00,758.10,789.40,7025500,789.40
2011-12-01,754.00,776.00,753.10,762.00,10323400,762.00
2011-11-30,724.00,734.25,704.90,730.30,31887400,730.30
2011-11-29,750.50,756.00,722.65,736.70,8646900,736.70
2011-11-28,730.00,753.75,728.05,750.50,5637400,750.50
2011-11-25,725.30,734.65,712.65,717.00,4997800,717.00
2011-11-24,726.00,736.00,719.00,735.00,5404400,735.00
2011-11-23,739.95,740.00,710.00,730.00,6503200,730.00
2011-11-22,740.05,752.00,734.20,744.00,6934600,744.00
2011-11-21,762.90,766.00,725.90,738.45,4865100,738.45
2011-11-18,770.00,773.25,748.00,772.30,5109100,772.30
2011-11-17,790.50,798.85,774.20,775.85,4188500,775.85
2011-11-16,787.00,801.00,773.60,801.00,5188300,801.00
2011-11-15,819.00,822.95,782.75,788.75,4522400,788.75
2011-11-14,837.90,839.45,813.75,820.60,5387900,820.60
2011-11-11,856.25,857.00,816.70,826.00,8326100,826.00
2011-11-09,886.75,889.35,857.30,860.70,5518700,860.70
2011-11-08,884.50,887.00,870.65,878.00,2644000,878.00
2011-11-04,889.60,892.00,879.25,884.15,3236100,884.15
2011-11-03,880.00,891.60,869.05,878.70,4733100,878.70
2011-11-02,885.70,903.95,859.20,882.60,4430300,882.60
2011-11-01,917.95,923.50,892.50,895.10,5452300,895.10
2011-10-31,935.00,953.65,921.55,931.00,5407600,931.00
2011-10-28,911.65,935.00,911.50,932.00,6815300,932.00
2011-10-26,885.00,885.00,865.00,871.00,922800,871.00
2011-10-25,879.00,891.90,852.65,887.00,7611500,887.00
2011-10-24,884.80,897.50,861.05,867.40,3263000,867.40
2011-10-21,880.00,883.30,866.55,872.00,1953100,872.00
2011-10-20,885.35,886.95,870.15,877.70,2691200,877.70
2011-10-19,888.00,907.90,888.00,906.25,2552800,906.25
2011-10-18,888.00,888.05,866.05,882.00,2628300,882.00
2011-10-17,895.00,903.10,887.10,897.00,2614000,897.00
2011-10-14,877.00,900.00,872.10,889.00,3332200,889.00
2011-10-13,875.50,888.80,866.00,879.00,5818300,879.00
2011-10-12,840.00,863.35,833.75,860.10,4144600,860.10
2011-10-11,852.00,861.00,829.10,830.45,3037600,830.45
