Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,2164.70,2164.70,2111.20,2118.30,547100,2118.30
2012-03-23,2173.25,2205.00,2128.70,2165.25,913700,2165.25
2012-03-21,2182.10,2239.90,2175.40,2233.55,579100,2233.55
2012-03-20,2159.85,2202.00,2140.00,2184.15,662500,2184.15
2012-03-19,2225.25,2238.90,2150.35,2159.65,554400,2159.65
2012-03-16,2299.80,2355.00,2218.00,2227.95,1199000,2227.95
2012-03-15,2356.00,2366.90,2286.60,2299.45,763600,2299.45
2012-03-14,2367.00,2374.00,2330.00,2351.50,499300,2351.50
2012-03-13,2341.00,2350.00,2315.55,2327.65,396000,2327.65
2012-03-12,2305.10,2320.00,2280.30,2305.10,689000,2305.10
2012-03-09,2187.00,2235.00,2187.00,2222.30,489000,2222.30
2012-03-07,2137.00,2164.45,2105.75,2141.05,911000,2141.05
2012-03-06,2152.00,2262.00,2116.45,2151.00,1173000,2151.00
2012-03-05,2232.10,2240.00,2165.00,2174.15,518300,2174.15
2012-03-02,2225.00,2279.90,2185.25,2245.70,902000,2245.70
2012-03-01,2232.00,2236.00,2186.30,2219.75,578500,2219.75
2012-02-29,2266.80,2286.20,2222.40,2243.40,865100,2243.40
2012-02-28,2150.00,2252.50,2132.05,2229.55,1070100,2229.55
2012-02-27,2212.20,2219.60,2114.20,2125.10,682200,2125.10
2012-02-24,2279.50,2304.40,2195.00,2206.80,841300,2206.80
2012-02-23,2255.00,2321.00,2247.00,2261.25,934200,2261.25
2012-02-22,2458.00,2470.00,2242.00,2257.80,1269600,2257.80
2012-02-21,2419.00,2474.80,2416.00,2451.75,643900,2451.75
2012-02-17,2377.00,2466.30,2377.00,2416.75,1006300,2416.75
2012-02-16,2247.70,2370.05,2228.50,2349.05,1038100,2349.05
2012-02-15,2228.70,2255.70,2222.00,2250.50,740700,2250.50
2012-02-14,2131.00,2217.15,2131.00,2198.45,886000,2198.45
2012-02-13,2173.70,2181.00,2097.00,2129.00,1306700,2129.00
2012-02-10,2193.00,2207.40,2150.95,2172.50,613200,2172.50
2012-02-09,2160.00,2191.40,2157.15,2181.95,569300,2181.95
2012-02-08,2165.05,2189.00,2144.50,2175.40,783000,2175.40
2012-02-07,2175.00,2185.90,2142.60,2152.05,609300,2152.05
2012-02-06,2135.00,2186.80,2135.00,2163.05,730600,2163.05
2012-02-03,2065.05,2117.95,2037.05,2103.10,747500,2103.10
2012-02-02,2097.00,2113.00,1975.05,2072.65,1175700,2072.65
2012-02-01,2054.00,2087.00,2042.00,2077.10,814800,2077.10
2012-01-31,2021.00,2071.90,2019.00,2061.05,695200,2061.05
2012-01-30,2007.00,2058.60,1978.00,1990.70,472300,1990.70
2012-01-27,2065.70,2068.00,2019.00,2042.60,428300,2042.60
2012-01-25,2054.40,2083.80,2040.00,2056.60,626800,2056.60
2012-01-24,1931.10,2056.80,1926.10,2041.30,1543000,2041.30
2012-01-23,1938.80,1965.15,1921.10,1940.65,419700,1940.65
2012-01-20,1898.00,1942.30,1893.25,1931.80,658400,1931.80
2012-01-19,1882.00,1911.00,1873.00,1883.70,351600,1883.70
2012-01-18,1846.00,1870.50,1800.00,1863.60,564500,1863.60
2012-01-17,1838.05,1871.50,1830.00,1842.85,501700,1842.85
2012-01-16,1760.00,1834.80,1748.60,1816.65,500400,1816.65
2012-01-13,1778.00,1799.90,1770.35,1777.15,561900,1777.15
2012-01-12,1730.00,1774.90,1719.85,1760.70,580100,1760.70
2012-01-11,1706.70,1733.35,1694.40,1725.75,527100,1725.75
2012-01-10,1651.00,1708.50,1651.00,1702.05,594400,1702.05
2012-01-06,1670.00,1705.85,1658.10,1676.15,498600,1676.15
2012-01-05,1695.00,1719.00,1680.85,1691.70,505200,1691.70
2012-01-04,1715.00,1715.00,1675.95,1695.15,590700,1695.15
2012-01-03,1648.00,1710.00,1643.00,1706.50,593700,1706.50
2012-01-02,1625.20,1636.00,1611.50,1629.65,369900,1629.65
2011-12-30,1638.40,1649.40,1606.00,1619.50,590800,1619.50
2011-12-29,1598.00,1633.90,1590.30,1627.05,662900,1627.05
2011-12-28,1625.30,1634.80,1601.00,1609.70,432800,1609.70
2011-12-27,1669.00,1669.00,1635.25,1642.90,421500,1642.90
2011-12-26,1642.00,1675.00,1642.00,1664.65,482100,1664.65
2011-12-23,1677.00,1691.25,1637.40,1648.35,888800,1648.35
2011-12-22,1614.00,1677.15,1588.50,1668.45,1054100,1668.45
2011-12-21,1623.00,1632.85,1596.60,1623.10,795800,1623.10
2011-12-20,1632.00,1649.00,1576.00,1582.80,983200,1582.80
2011-12-19,1668.90,1668.90,1604.00,1631.55,979100,1631.55
2011-12-16,1753.90,1782.45,1667.00,1680.45,1430200,1680.45
2011-12-15,1755.00,1772.00,1734.00,1744.50,1013600,1744.50
2011-12-14,1784.00,1839.00,1770.15,1784.65,1444100,1784.65
2011-12-13,1759.00,1802.85,1748.10,1787.20,874400,1787.20
2011-12-12,1881.00,1895.80,1765.00,1773.10,1045600,1773.10
2011-12-09,1829.90,1885.00,1819.10,1863.95,950200,1863.95
2011-12-08,1937.00,1937.50,1860.00,1865.85,720200,1865.85
2011-12-07,1912.00,1951.75,1910.15,1936.70,668800,1936.70
2011-12-05,1882.00,1914.40,1870.15,1908.60,652900,1908.60
2011-12-02,1822.00,1897.80,1802.00,1886.50,792700,1886.50
2011-12-01,1812.00,1853.50,1807.25,1819.25,552300,1819.25
2011-11-30,1748.00,1788.00,1728.10,1762.85,916300,1762.85
2011-11-29,1785.00,1798.00,1747.00,1756.50,672200,1756.50
2011-11-28,1725.00,1785.05,1715.00,1776.90,619800,1776.90
2011-11-25,1647.80,1698.10,1635.10,1690.70,1072200,1690.70
2011-11-24,1657.00,1669.75,1629.10,1653.25,711400,1653.25
2011-11-23,1670.00,1671.90,1629.25,1654.30,773300,1654.30
2011-11-22,1680.00,1709.80,1664.85,1688.65,650500,1688.65
2011-11-21,1723.90,1724.40,1657.15,1673.05,734400,1673.05
2011-11-18,1755.00,1765.90,1702.95,1725.50,881200,1725.50
2011-11-17,1763.70,1799.95,1746.20,1757.50,841400,1757.50
2011-11-16,1729.65,1776.80,1717.00,1764.90,949300,1764.90
2011-11-15,1746.00,1764.00,1719.50,1729.90,857100,1729.90
2011-11-14,1826.00,1828.00,1741.40,1753.05,789400,1753.05
2011-11-11,1860.00,1865.50,1782.15,1797.65,1527100,1797.65
2011-11-09,2014.20,2018.25,1852.55,1862.50,2683100,1862.50
2011-11-08,1971.25,2004.40,1960.05,1997.55,486300,1997.55
2011-11-04,1957.70,1981.75,1953.10,1964.25,515100,1964.25
2011-11-03,1902.00,1942.00,1900.00,1934.50,510700,1934.50
2011-11-02,1885.00,1924.90,1884.40,1908.95,415300,1908.95
2011-11-01,1894.00,1920.00,1885.70,1902.20,465300,1902.20
2011-10-31,1919.00,1922.90,1878.10,1906.70,554700,1906.70
2011-10-28,1922.10,1929.85,1893.00,1907.00,511600,1907.00
