Date,Open,High,Low,Close,Volume,Adj Close
2011-09-13,762.05,762.05,762.05,762.05,000,762.05
2011-09-12,762.05,762.05,762.05,762.05,000,762.05
2011-09-09,791.40,791.40,760.50,762.05,2010500,762.05
2011-08-29,712.00,736.40,710.00,729.40,3553900,729.40
2011-08-26,715.10,732.35,693.60,698.10,3045200,698.10
2011-08-25,711.05,721.80,705.20,716.00,3461900,716.00
2011-08-24,727.00,736.80,695.05,695.55,3593400,695.55
2011-08-23,735.00,746.90,715.00,727.75,3613000,727.75
2011-08-22,715.45,742.10,700.00,739.70,4437600,739.70
2011-08-19,737.25,739.80,702.15,710.05,5589600,710.05
2011-08-18,786.70,787.30,747.90,748.00,2518900,748.00
2011-08-17,799.00,800.15,772.10,780.00,2541100,780.00
2011-08-16,812.10,819.90,795.05,807.35,2297000,807.35
2011-08-12,850.95,850.95,793.10,799.10,5268100,799.10
2011-08-11,829.00,862.95,817.00,850.00,3925800,850.00
2011-08-10,824.50,849.40,816.00,842.05,3085100,842.05
2011-08-09,793.00,821.00,784.05,793.50,4985000,793.50
2011-08-08,871.05,872.00,823.75,830.20,3109100,830.20
2011-08-05,879.00,892.00,870.00,891.05,2439600,891.05
2011-08-04,922.70,928.60,910.35,915.00,3752700,915.00
2011-08-03,945.00,945.00,921.30,928.20,1786000,928.20
2011-08-02,955.05,962.90,950.00,957.00,1587000,957.00
2011-08-01,955.00,966.95,950.65,963.60,1147400,963.60
2011-07-29,948.90,955.90,940.00,953.00,1361400,953.00
2011-07-28,951.90,966.00,945.45,948.45,1630100,948.45
2011-07-27,975.00,977.85,948.30,956.20,1736500,956.20
2011-07-26,1007.90,1013.10,965.65,971.00,1937000,971.00
2011-07-25,994.00,1011.90,987.10,1005.15,1358600,1005.15
2011-07-22,987.00,1005.00,980.40,995.00,2146700,995.00
2011-07-21,972.90,984.95,962.75,975.60,1342400,975.60
2011-07-20,990.00,995.65,964.10,968.05,1896400,968.05
2011-07-19,1001.00,1002.15,978.00,985.00,3122700,985.00
2011-07-18,1035.00,1046.45,1012.00,1012.60,1667400,992.60
2011-07-15,1061.50,1062.00,1029.30,1034.85,1756800,1014.41
2011-07-14,1040.00,1081.50,1035.35,1065.90,2279500,1044.85
2011-07-13,1028.00,1048.50,1025.00,1046.70,1448000,1026.03
2011-07-12,1036.00,1042.50,1005.00,1025.50,2094400,1005.25
2011-07-11,1054.00,1063.00,1045.80,1050.20,1176800,1029.46
