Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,1177.00,1185.00,1154.00,1158.00,1526600,1158.00
2012-03-23,1175.00,1191.90,1164.80,1185.00,1579200,1185.00
2012-03-21,1136.95,1179.80,1136.55,1173.95,2276600,1173.95
2012-03-20,1129.00,1145.00,1120.00,1133.70,1841600,1133.70
2012-03-19,1169.55,1169.55,1111.80,1124.75,2566400,1124.75
2012-03-16,1169.95,1180.00,1158.00,1163.60,1027300,1163.60
2012-03-15,1159.00,1170.95,1145.00,1164.80,2142100,1164.80
2012-03-14,1210.10,1214.00,1151.00,1152.00,4032600,1152.00
2012-03-13,1190.00,1214.95,1190.00,1198.80,1246200,1198.80
2012-03-12,1215.90,1218.85,1183.20,1185.60,1120100,1185.60
2012-03-09,1227.00,1227.00,1202.95,1207.10,1112800,1207.10
2012-03-07,1195.00,1206.00,1186.55,1195.90,972800,1195.90
2012-03-06,1203.00,1221.30,1189.00,1190.00,858800,1190.00
2012-03-05,1214.00,1222.45,1201.00,1208.10,770400,1208.10
2012-03-02,1226.00,1227.00,1207.00,1219.00,1154600,1219.00
2012-03-01,1223.00,1226.95,1210.05,1219.00,784200,1219.00
2012-02-29,1240.00,1240.00,1212.25,1220.90,1530100,1220.90
2012-02-28,1255.25,1260.40,1219.10,1227.60,1986700,1227.60
2012-02-27,1279.00,1279.95,1245.60,1250.00,930600,1250.00
2012-02-24,1259.00,1280.85,1257.25,1268.00,1173200,1268.00
2012-02-23,1249.05,1274.90,1244.00,1254.30,2043400,1254.30
2012-02-22,1235.00,1266.85,1229.00,1246.20,1570900,1246.20
2012-02-21,1223.55,1240.00,1204.75,1235.95,1244700,1235.95
2012-02-17,1234.85,1254.00,1221.00,1225.35,2048200,1225.35
2012-02-16,1238.00,1242.00,1218.00,1222.30,943300,1222.30
2012-02-15,1227.15,1248.80,1219.50,1238.20,1083500,1238.20
2012-02-14,1225.00,1229.55,1215.00,1221.00,913300,1221.00
2012-02-13,1222.20,1237.95,1214.00,1228.00,815800,1228.00
2012-02-10,1228.00,1238.00,1212.00,1228.00,1162100,1228.00
2012-02-09,1211.10,1232.00,1188.00,1229.95,1519000,1229.95
2012-02-08,1216.40,1226.85,1211.00,1220.00,1813500,1220.00
2012-02-07,1209.70,1209.70,1191.90,1201.00,1703800,1201.00
2012-02-06,1183.70,1200.05,1173.35,1197.60,1713500,1197.60
2012-02-03,1145.00,1176.00,1141.00,1169.70,1388700,1169.70
