Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,1360.25,1365.70,1324.00,1324.00,146200,1324.00
2012-03-23,1349.70,1385.00,1341.25,1378.80,321800,1378.80
2012-03-21,1359.00,1397.00,1355.00,1390.00,571900,1390.00
2012-03-20,1355.00,1378.00,1340.00,1361.90,242100,1361.90
2012-03-19,1336.10,1383.55,1325.35,1359.90,467600,1359.90
2012-03-16,1336.00,1355.00,1320.65,1333.10,630500,1333.10
2012-03-15,1353.00,1360.05,1338.10,1345.00,235900,1345.00
2012-03-14,1346.00,1365.90,1339.25,1354.00,353600,1354.00
2012-03-13,1325.50,1345.95,1325.50,1335.60,417800,1335.60
2012-03-12,1321.00,1326.00,1296.00,1323.00,248500,1323.00
2012-03-09,1315.00,1331.20,1301.10,1320.00,216600,1320.00
2012-03-07,1285.00,1309.95,1281.50,1300.20,115400,1300.20
2012-03-06,1288.10,1314.85,1273.00,1295.00,401700,1295.00
2012-03-05,1330.00,1330.00,1286.60,1287.25,196300,1287.25
2012-03-02,1330.00,1355.00,1325.00,1333.50,571000,1333.50
2012-03-01,1305.00,1344.00,1285.35,1329.95,296500,1329.95
2012-02-29,1293.00,1320.00,1293.00,1306.00,607100,1306.00
2012-02-28,1266.95,1301.90,1266.00,1285.90,326900,1285.90
2012-02-27,1252.35,1284.95,1237.85,1270.00,623900,1270.00
2012-02-24,1294.00,1320.00,1256.00,1266.00,728500,1266.00
2012-02-23,1316.10,1327.60,1293.00,1296.50,650900,1296.50
2012-02-22,1370.75,1371.00,1315.90,1320.15,899300,1320.15
2012-02-21,1364.50,1380.55,1354.05,1370.00,236400,1370.00
2012-02-17,1353.00,1384.80,1336.80,1374.00,301900,1374.00
2012-02-16,1356.60,1368.90,1334.00,1344.50,307900,1344.50
2012-02-15,1349.50,1387.50,1341.00,1367.00,487200,1367.00
2012-02-14,1352.20,1370.00,1336.25,1338.00,227000,1338.00
2012-02-13,1346.70,1373.70,1335.50,1353.00,236500,1353.00
2012-02-10,1400.00,1421.75,1336.25,1338.50,667400,1338.50
2012-02-09,1378.90,1399.00,1370.30,1387.55,594800,1387.55
2012-02-08,1354.05,1393.00,1336.25,1389.90,684300,1389.90
2012-02-07,1341.00,1374.00,1300.10,1352.00,804000,1352.00
2012-02-06,1280.00,1354.90,1272.25,1340.00,787600,1340.00
2012-02-03,1260.00,1275.00,1252.00,1270.00,444300,1270.00
2012-02-02,1210.00,1264.45,1205.30,1264.00,552000,1264.00
2012-02-01,1188.00,1214.00,1188.00,1201.95,193000,1201.95
2012-01-31,1177.55,1201.80,1177.00,1193.00,219200,1193.00
2012-01-30,1180.10,1205.00,1165.00,1171.40,173200,1171.40
2012-01-27,1180.00,1207.00,1173.05,1196.00,437300,1196.00
2012-01-25,1178.00,1196.00,1167.50,1171.00,318500,1171.00
2012-01-24,1169.80,1184.00,1163.80,1170.10,314500,1170.10
2012-01-23,1135.10,1168.00,1135.10,1160.00,329200,1160.00
2012-01-20,1155.00,1160.00,1140.45,1149.00,220600,1149.00
2012-01-19,1140.00,1178.50,1133.50,1150.00,554300,1150.00
2012-01-18,1144.00,1151.80,1125.65,1126.05,167800,1126.05
2012-01-17,1113.95,1145.45,1113.95,1139.00,299800,1139.00
2012-01-16,1120.10,1126.90,1105.10,1105.10,94200,1105.10
2012-01-13,1125.00,1131.00,1113.55,1123.40,268900,1123.40
2012-01-12,1114.00,1128.00,1109.95,1120.00,198200,1120.00
