Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,266.35,266.35,257.00,258.00,3547800,258.00
2012-03-23,262.50,269.45,258.55,267.00,7557800,267.00
2012-03-21,263.00,271.10,260.00,271.00,6235200,271.00
2012-03-20,261.00,267.30,255.65,262.25,8052900,262.25
2012-03-19,273.90,274.60,259.20,260.75,6793500,260.75
2012-03-16,287.00,294.85,269.55,272.50,8947600,272.50
2012-03-15,293.20,293.80,281.70,283.50,3568500,283.50
2012-03-14,295.90,297.95,291.30,294.10,4906900,294.10
2012-03-13,287.85,296.75,287.20,290.75,3950700,290.75
2012-03-12,284.90,286.40,279.60,284.60,4646000,284.60
2012-03-09,276.50,280.50,273.10,279.50,5066000,279.50
2012-03-07,271.70,277.80,264.00,270.20,6476600,270.20
2012-03-06,283.15,299.70,272.15,272.90,8442500,272.90
2012-03-05,292.25,292.50,283.05,284.70,3604100,284.70
2012-03-02,303.00,303.60,291.65,296.25,6781600,296.25
2012-03-01,304.95,304.95,295.00,297.95,6582800,297.95
2012-02-29,315.00,323.60,304.10,305.35,10501100,305.35
2012-02-28,293.00,311.00,292.30,310.40,6908300,310.40
2012-02-27,304.80,306.80,286.00,288.65,5033700,288.65
2012-02-24,315.00,318.00,301.65,303.55,5642200,303.55
2012-02-23,307.00,320.75,302.00,311.25,9992100,311.25
2012-02-22,320.85,328.00,300.70,306.40,11142700,306.40
2012-02-21,309.35,320.00,307.65,317.40,10817400,317.40
2012-02-17,289.50,325.35,286.00,303.00,28288200,303.00
2012-02-16,279.00,292.70,279.00,283.50,10247500,283.50
2012-02-15,268.60,279.80,266.95,278.00,10027800,278.00
2012-02-14,262.95,267.80,259.15,267.50,3507900,267.50
2012-02-13,262.00,263.60,258.35,261.40,2619700,261.40
2012-02-10,262.50,264.00,258.10,260.10,6322700,260.10
2012-02-09,261.50,265.80,260.45,262.00,3139800,262.00
2012-02-08,262.00,266.00,257.30,262.25,4035600,262.25
2012-02-07,273.20,274.30,257.95,258.85,4646800,258.85
2012-02-06,268.50,273.00,266.95,270.90,5583900,270.90
2012-02-03,260.00,265.80,259.00,264.00,4289700,264.00
2012-02-02,256.25,272.25,256.25,257.90,14407200,257.90
2012-02-01,251.00,256.65,246.65,256.25,5184200,256.25
2012-01-31,243.85,251.50,241.00,250.50,8961200,250.50
2012-01-30,259.00,259.00,241.50,242.60,20869100,242.60
2012-01-27,285.00,285.05,269.00,273.45,6358400,273.45
2012-01-25,283.05,284.55,278.30,282.55,4693400,282.55
2012-01-24,287.00,287.15,279.50,280.75,4497700,280.75
2012-01-23,274.00,284.80,274.00,281.80,5992300,281.80
2012-01-20,266.10,276.60,266.10,276.35,7098800,276.35
2012-01-19,277.55,278.65,263.60,265.80,6643100,265.80
2012-01-18,281.00,284.95,271.55,272.00,6091600,272.00
2012-01-17,278.10,285.50,278.10,280.35,3277500,280.35
2012-01-16,264.00,278.90,263.45,276.50,3445900,276.50
2012-01-13,263.90,268.50,263.10,267.80,2046400,267.80
2012-01-12,263.25,272.00,261.55,263.00,3728500,263.00
2012-01-11,262.95,267.00,259.15,265.00,2894500,265.00
2012-01-10,258.10,267.40,258.10,262.90,3548100,262.90
2012-01-06,253.75,255.20,245.05,249.40,2686800,249.40
2012-01-05,253.20,260.40,251.65,254.90,3286700,254.90
2012-01-04,249.30,258.50,249.30,253.30,3553200,253.30
2012-01-03,240.25,251.70,239.25,249.75,2420700,249.75
2012-01-02,239.70,241.80,233.65,236.60,2609700,236.60
2011-12-30,240.00,240.70,236.50,238.60,1837500,238.60
2011-12-29,244.60,247.60,232.35,237.00,4408500,237.00
2011-12-28,239.30,248.30,237.00,247.80,3204700,247.80
2011-12-27,244.00,246.60,238.15,241.00,2098800,241.00
2011-12-26,243.20,247.40,240.10,243.75,1610200,243.75
2011-12-23,238.65,247.00,238.25,242.10,3485300,242.10
2011-12-22,231.70,238.80,231.00,238.00,3474000,238.00
2011-12-21,236.85,239.80,230.00,233.30,4766500,233.30
2011-12-20,235.25,237.45,223.35,234.15,5241000,234.15
2011-12-19,239.00,239.00,227.10,236.00,4795100,236.00
2011-12-16,252.50,255.50,236.20,243.00,5482300,243.00
2011-12-15,251.20,253.40,245.00,249.05,5129600,249.05
2011-12-14,259.50,265.30,253.60,254.00,3051500,254.00
2011-12-13,255.00,263.00,251.70,262.25,4100000,262.25
2011-12-12,268.50,269.00,256.25,257.50,4421600,257.50
2011-12-09,266.80,267.95,260.35,263.35,2935600,263.35
2011-12-08,287.55,288.45,271.00,272.00,3215300,272.00
2011-12-07,290.95,291.90,286.20,288.50,2722800,288.50
2011-12-05,282.80,290.70,282.00,288.15,3377200,288.15
2011-12-02,275.65,284.00,271.40,283.15,3280000,283.15
2011-12-01,294.00,295.65,273.90,274.00,4086100,274.00
2011-11-30,280.90,284.05,274.00,283.85,2960000,283.85
2011-11-29,282.05,288.40,279.10,281.80,3489100,281.80
2011-11-28,277.80,283.50,275.00,283.15,3044700,283.15
2011-11-25,261.40,276.00,260.00,271.00,5885300,271.00
2011-11-24,256.90,265.00,246.00,264.00,5812300,264.00
2011-11-23,262.75,263.00,252.45,256.00,4080600,256.00
2011-11-22,266.00,269.70,262.60,264.50,3584400,264.50
2011-11-21,275.60,277.75,260.00,263.95,7405300,263.95
2011-11-18,286.20,286.50,267.15,277.95,12187600,277.95
2011-11-17,296.85,303.25,281.20,284.50,3992900,284.50
2011-11-16,308.95,308.95,286.50,300.70,6098300,300.70
2011-11-15,320.00,323.50,308.00,308.40,2312700,308.40
2011-11-14,328.80,328.80,316.00,316.00,1363500,316.00
2011-11-11,328.30,329.00,318.15,324.90,1301000,324.90
2011-11-10,329.45,329.45,329.45,329.45,000,329.45
2011-11-09,336.95,338.05,327.10,329.45,1498000,329.45
2011-11-08,335.00,338.00,333.85,334.80,1739200,334.80
2011-11-07,334.00,334.00,334.00,334.00,000,334.00
2011-11-04,332.00,338.90,332.00,334.00,2952000,334.00
2011-11-03,317.90,332.00,317.15,331.00,5992900,331.00
2011-11-02,317.00,320.95,314.55,316.00,1893400,316.00
2011-11-01,317.75,321.90,316.05,319.55,2990500,319.55
2011-10-31,329.00,329.00,317.10,317.80,3225200,317.80
2011-10-28,325.00,329.25,319.75,326.30,7092000,326.30
2011-10-27,316.50,316.50,316.50,316.50,000,316.50
2011-10-26,317.80,319.10,316.05,316.50,486800,316.50
2011-10-25,319.00,319.00,313.35,315.80,4550500,315.80
2011-10-24,324.70,326.60,317.00,317.60,1770900,317.60
2011-10-21,318.00,326.00,318.00,321.05,2371000,321.05
2011-10-20,321.20,323.15,316.00,316.90,1719500,316.90
2011-10-19,325.00,326.85,322.00,323.95,2642900,323.95
2011-10-18,322.40,325.85,319.55,322.30,1086000,322.30
2011-10-17,335.95,337.20,325.00,325.20,1165500,325.20
2011-10-14,332.70,338.75,329.40,333.85,1214900,333.85
2011-10-13,339.00,344.45,331.00,331.65,1699500,331.65
2011-10-12,328.40,341.00,327.00,339.60,1589300,339.60
2011-10-11,333.95,337.75,325.00,326.00,1742700,326.00
2011-10-10,325.00,333.95,325.00,332.60,1570800,332.60
2011-10-07,321.25,326.90,318.05,325.85,2332800,325.85
2011-10-06,311.50,311.50,311.50,311.50,000,311.50
2011-10-05,323.75,325.80,309.45,311.50,2065000,311.50
2011-10-04,319.00,327.60,318.20,322.40,1723400,322.40
2011-10-03,320.00,326.40,318.55,320.35,1911200,320.35
2011-09-30,331.00,334.80,325.80,327.00,2491900,327.00
2011-09-29,327.00,336.00,321.47,329.38,4544000,329.38
2011-09-28,332.74,332.97,326.40,327.79,2511400,327.79
2011-09-27,322.01,334.26,322.01,330.28,4153600,330.28
2011-09-26,320.74,321.39,315.10,317.19,2665700,317.19
2011-09-23,320.00,323.40,314.61,321.74,3632200,321.74
2011-09-22,323.80,324.89,320.20,320.80,2861700,320.80
2011-09-21,330.00,333.40,325.20,326.20,4026500,326.20
2011-09-20,330.00,332.74,326.03,329.00,5693900,329.00
2011-09-19,335.00,335.70,330.20,330.40,3328500,330.40
2011-09-16,344.77,346.80,335.23,335.79,5474000,335.79
2011-09-15,351.05,352.80,341.38,342.14,3085800,342.14
2011-09-14,340.80,353.36,335.60,353.20,2659700,353.20
2011-09-13,344.40,348.96,339.00,339.18,2296400,339.18
2011-09-12,342.00,347.80,340.40,342.40,2691500,342.40
2011-09-09,354.98,357.28,346.05,346.80,2294200,346.80
2011-09-08,359.96,364.00,353.04,353.80,3459200,353.80
2011-09-07,351.40,359.80,350.60,359.40,4283000,359.40
2011-09-06,340.58,352.20,339.00,351.84,3260300,351.84
2011-09-05,345.98,345.98,339.20,341.25,2319200,341.25
2011-09-02,364.20,364.40,343.00,347.60,3562000,347.60
2011-09-01,352.60,352.60,352.60,352.60,000,352.60
2011-08-31,352.60,352.60,352.60,352.60,000,352.60
2011-08-30,356.00,357.34,350.22,352.60,5020800,352.60
2011-08-29,353.88,356.58,347.61,353.36,2786600,353.36
2011-08-26,349.85,356.41,343.81,348.80,3704500,348.80
2011-08-25,352.80,355.00,346.35,349.20,3878400,349.20
2011-08-24,349.60,352.00,347.40,352.00,2418800,352.00
2011-08-23,345.00,353.20,343.24,353.20,4092900,353.20
2011-08-22,336.60,345.40,334.53,342.60,2371700,342.60
2011-08-19,348.00,348.00,335.00,336.02,2608700,336.02
2011-08-18,357.58,357.59,351.10,353.80,3252200,353.80
2011-08-17,352.84,359.80,351.70,357.03,3631100,357.03
2011-08-16,348.40,355.00,346.60,355.00,3173900,355.00
2011-08-15,344.00,344.00,344.00,344.00,000,344.00
2011-08-12,354.20,355.60,341.03,344.00,3682300,344.00
2011-08-11,357.00,358.40,348.50,349.60,3101000,349.60
2011-08-10,352.94,359.00,352.20,358.98,5837500,358.98
2011-08-09,335.02,354.00,333.00,347.98,7931400,347.98
2011-08-08,337.65,345.76,332.07,343.80,6178400,343.80
2011-08-05,350.94,353.50,340.00,344.20,7981900,344.20
2011-08-04,362.80,365.00,356.00,356.96,2395200,356.96
2011-08-03,359.14,364.00,357.01,363.60,2741000,363.60
2011-08-02,364.00,365.70,360.02,362.20,2280600,362.20
2011-08-01,370.22,370.60,363.58,364.83,2416800,364.83
2011-07-29,369.38,370.75,364.20,368.14,3092100,368.14
2011-07-28,364.00,370.49,360.40,368.80,7272100,368.80
2011-07-27,382.40,382.45,360.00,364.24,18052800,364.24
2011-07-26,401.20,405.00,378.54,381.60,12180200,381.60
2011-07-25,395.08,400.98,391.72,398.78,2346800,398.78
2011-07-22,390.04,396.40,387.50,396.21,2532700,396.21
2011-07-21,390.00,391.00,384.10,387.80,3284800,387.80
2011-07-20,397.42,398.73,390.00,391.14,3437700,391.14
2011-07-19,396.02,398.40,391.60,395.20,3267800,395.20
2011-07-18,387.78,397.16,385.14,396.07,4015600,396.07
2011-07-15,388.00,389.00,385.00,385.38,917600,385.38
2011-07-14,385.60,389.60,383.00,385.88,2476600,385.88
2011-07-13,388.40,391.48,384.60,386.80,3811800,386.80
2011-07-12,390.00,393.59,384.25,387.02,1605300,387.02
2011-07-11,395.00,396.00,387.00,393.80,2319600,393.80
2011-07-08,398.40,400.60,394.27,396.60,2125500,396.60
2011-07-07,390.88,397.80,390.88,397.43,2607700,397.43
2011-07-06,392.00,395.52,389.00,389.79,3583600,389.79
2011-07-05,407.66,408.40,388.40,388.88,7422800,388.88
2011-07-04,413.76,415.00,406.40,409.20,1271500,409.20
2011-07-01,412.00,414.00,408.40,410.06,1496000,410.06
2011-06-30,407.62,412.35,403.50,409.96,3698400,409.96
2011-06-29,403.88,412.56,403.00,408.60,4418800,408.60
2011-06-28,395.27,401.98,394.00,401.10,2930600,401.10
2011-06-27,388.40,395.80,385.03,392.80,2238600,392.80
2011-06-24,381.02,394.58,379.71,388.00,4732400,388.00
2011-06-23,383.76,383.76,379.00,379.96,1717700,379.96
2011-06-22,384.00,385.80,378.02,385.07,2227600,385.07
2011-06-21,386.60,386.60,374.31,382.80,3303300,382.80
2011-06-20,389.00,389.00,378.25,383.40,2430400,383.40
2011-06-17,386.40,390.40,385.71,387.00,1620500,387.00
2011-06-16,384.58,389.60,383.00,389.04,1689300,389.04
2011-06-15,389.34,389.42,384.65,386.20,2084800,386.20
2011-06-14,387.30,389.80,386.00,389.00,5656500,389.00
2011-06-13,385.38,386.58,381.12,385.07,1297600,385.07
2011-06-10,386.98,388.14,383.52,384.31,1767600,384.31
2011-06-09,383.77,388.20,383.20,387.34,1841400,387.34
2011-06-08,381.16,387.80,380.90,382.72,2897800,382.72
2011-06-07,382.74,383.37,380.25,381.60,1778700,381.60
2011-06-06,383.60,383.60,378.80,383.20,1560900,383.20
2011-06-03,387.49,389.34,378.80,383.10,2997600,383.10
2011-06-02,388.40,388.96,385.65,386.68,1959600,386.68
2011-06-01,390.28,393.40,389.02,390.00,2137800,390.00
2011-05-31,387.78,389.53,385.30,389.40,1788500,389.40
2011-05-30,390.00,390.69,384.57,386.20,2154200,386.20
2011-05-27,385.00,388.38,383.06,386.60,2331300,386.60
2011-05-26,386.00,386.94,378.00,385.80,4199200,385.80
