Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,682.00,686.05,661.80,665.15,222100,665.15
2012-03-23,678.00,687.95,666.20,687.50,338600,687.50
2012-03-21,684.10,702.70,676.10,698.00,796500,698.00
2012-03-20,671.05,692.50,666.20,684.95,627800,684.95
2012-03-19,665.00,669.70,655.00,667.50,295000,667.50
2012-03-16,668.00,682.00,660.75,665.20,615300,665.20
2012-03-15,680.20,683.45,662.55,665.00,311500,665.00
2012-03-14,668.00,689.00,668.00,688.30,541100,688.30
2012-03-13,663.30,675.80,663.00,669.00,301600,669.00
2012-03-12,671.00,671.00,656.70,664.00,302700,664.00
2012-03-09,653.00,666.10,648.80,665.50,722500,665.50
2012-03-07,662.40,666.00,649.15,660.00,623100,660.00
2012-03-06,665.00,680.00,661.00,667.00,553600,667.00
2012-03-05,681.00,682.00,663.10,668.30,619100,668.30
2012-03-02,664.80,668.70,658.15,667.00,274900,667.00
2012-03-01,663.00,668.85,622.50,660.25,283500,660.25
2012-02-29,657.80,669.80,655.20,662.00,1084200,662.00
2012-02-28,663.25,670.00,648.00,654.00,660000,654.00
2012-02-27,665.00,685.05,651.30,654.00,1248800,654.00
2012-02-24,665.00,668.80,646.25,646.25,1098600,646.25
2012-02-23,621.00,664.50,620.10,664.00,2483200,664.00
2012-02-22,614.60,639.00,610.30,614.95,1533900,614.95
2012-02-21,612.60,624.00,604.25,608.95,595900,608.95
2012-02-17,622.85,623.00,605.35,621.35,638900,621.35
2012-02-16,597.00,625.00,592.10,622.00,570900,622.00
2012-02-15,599.90,607.00,593.30,602.00,274000,602.00
2012-02-14,594.10,604.00,590.00,599.00,326100,599.00
2012-02-13,598.25,601.80,586.00,586.00,213700,586.00
2012-02-10,610.90,627.90,590.60,592.50,1549900,592.50
2012-02-09,577.60,604.95,574.05,604.75,510800,604.75
2012-02-08,569.85,579.70,564.75,577.25,380700,577.25
2012-02-07,570.00,586.00,565.50,568.00,520200,568.00
2012-02-06,579.60,579.90,571.05,572.00,474400,572.00
2012-02-03,580.00,588.20,572.45,572.45,424900,572.45
2012-02-02,568.00,579.00,564.65,578.00,560900,578.00
2012-02-01,570.00,576.00,556.75,560.30,541300,560.30
2012-01-31,573.50,581.90,561.20,576.10,573100,576.10
2012-01-30,574.00,579.50,552.40,569.50,473300,569.50
2012-01-27,587.30,587.30,571.35,580.00,420900,580.00
2012-01-25,560.00,589.85,557.90,584.00,1432900,584.00
2012-01-24,544.80,563.80,541.30,561.00,560100,561.00
2012-01-23,556.00,561.50,541.50,544.00,323700,544.00
2012-01-20,538.10,565.30,538.10,559.00,472500,559.00
2012-01-19,538.30,548.40,531.70,540.00,458400,540.00
2012-01-18,521.15,551.70,521.15,533.00,648500,533.00
2012-01-17,505.30,529.00,505.30,524.00,354700,524.00
2012-01-16,507.60,511.00,498.25,505.00,174500,505.00
2012-01-13,517.40,519.00,506.10,506.55,252000,506.55
2012-01-12,509.40,516.00,500.10,513.40,774600,513.40
2012-01-11,486.95,509.85,485.15,508.00,770100,508.00
2012-01-10,472.00,486.60,470.55,482.50,354800,482.50
2012-01-06,461.75,479.50,461.00,479.10,1059600,479.10
2012-01-05,471.90,474.00,458.05,459.45,601300,459.45
2012-01-04,469.00,474.55,461.00,471.35,1114800,471.35
2012-01-03,476.50,476.50,465.25,472.00,848900,472.00
2012-01-02,484.90,487.00,476.30,479.85,558200,479.85
2011-12-30,481.00,484.65,468.75,481.00,662000,481.00
2011-12-29,495.15,500.95,475.10,475.10,847500,475.10
2011-12-28,504.00,504.00,491.70,493.65,392000,493.65
2011-12-27,503.00,510.30,498.70,504.00,305400,504.00
2011-12-26,512.90,514.50,498.70,501.00,622100,501.00
2011-12-23,519.05,527.85,501.25,505.90,649400,505.90
2011-12-22,510.15,526.75,509.50,522.85,411800,522.85
2011-12-21,505.35,525.00,499.00,524.95,459800,524.95
2011-12-20,525.15,541.00,496.40,498.00,776700,498.00
2011-12-19,525.00,536.50,520.00,525.00,319100,525.00
2011-12-16,534.75,542.50,520.30,533.00,758600,533.00
2011-12-15,519.75,535.00,518.50,529.60,761600,529.60
2011-12-14,540.00,546.60,506.10,520.00,847500,520.00
2011-12-13,536.00,547.80,533.00,538.95,375400,538.95
2011-12-12,554.10,555.75,540.80,543.30,224200,543.30
2011-12-09,545.05,558.90,545.00,553.50,559800,553.50
2011-12-08,543.30,557.85,539.85,550.00,478100,550.00
2011-12-07,553.50,559.75,541.35,546.70,744000,546.70
2011-12-05,554.50,562.15,546.10,556.00,400800,556.00
2011-12-02,525.70,566.40,519.20,555.00,1109600,555.00
2011-12-01,542.90,549.40,523.00,523.50,503100,523.50
2011-11-30,519.00,542.60,517.00,537.70,578400,537.70
2011-11-29,529.80,539.75,525.00,526.50,378600,526.50
2011-11-28,517.90,541.80,511.05,535.00,632600,535.00
2011-11-25,500.00,522.00,491.00,518.00,511400,518.00
2011-11-24,502.50,509.95,486.60,509.00,896100,509.00
2011-11-23,516.20,516.20,493.55,494.05,632700,494.05
2011-11-22,502.45,526.70,492.60,523.85,659100,523.85
2011-11-21,522.00,527.35,496.50,502.25,501500,502.25
2011-11-18,510.00,529.90,507.60,519.60,930400,519.60
2011-11-17,515.95,517.80,501.15,512.00,458000,512.00
2011-11-16,526.45,529.50,505.00,514.65,683300,514.65
2011-11-15,546.00,547.00,530.00,539.70,498400,539.70
2011-11-14,562.40,562.40,547.70,549.30,320800,549.30
2011-11-11,563.00,565.00,545.00,557.00,982700,557.00
2011-11-09,606.90,606.90,567.00,569.00,982900,569.00
2011-11-08,626.00,626.00,601.10,603.55,492200,603.55
2011-11-04,641.00,642.00,621.00,623.95,366900,623.95
2011-11-03,636.40,636.40,625.00,629.00,236300,629.00
2011-11-02,633.95,638.25,626.25,626.50,296800,626.50
2011-11-01,620.00,631.50,614.80,631.45,445100,631.45
2011-10-31,644.40,644.40,616.15,622.90,845300,622.90
2011-10-28,661.45,669.10,635.10,636.45,889800,636.45
2011-10-26,657.00,663.00,652.05,657.00,28200,657.00
2011-10-25,640.10,664.85,635.30,661.25,505400,661.25
2011-10-24,640.50,648.00,640.50,644.10,86700,644.10
2011-10-21,640.10,651.20,635.50,644.00,146000,644.00
2011-10-20,647.15,649.00,631.00,640.10,151200,640.10
2011-10-19,642.30,650.80,637.55,649.00,126800,649.00
2011-10-18,632.00,646.25,630.65,646.25,146900,646.25
2011-10-17,654.45,657.90,629.45,635.60,394100,635.60
2011-10-14,655.50,661.95,649.00,654.55,395800,654.55
2011-10-13,670.00,673.55,653.25,654.00,228800,654.00
2011-10-12,669.85,679.60,667.00,668.75,245800,668.75
2011-10-11,667.05,678.90,667.05,674.90,270400,674.90
2011-10-10,656.60,677.00,656.60,672.10,188600,672.10
2011-10-07,669.85,674.20,665.25,670.50,193900,670.50
2011-10-05,672.00,677.70,662.45,665.00,330400,665.00
2011-10-04,679.25,684.90,663.80,673.10,466500,673.10
2011-10-03,647.95,694.00,641.15,676.20,531700,676.20
2011-09-30,648.60,660.95,640.00,647.05,244000,647.05
2011-09-29,645.00,666.90,632.10,659.95,467400,659.95
2011-09-28,658.60,658.60,637.55,640.00,257300,640.00
2011-09-27,660.05,662.00,654.00,658.00,285200,658.00
2011-09-26,660.00,661.55,647.60,660.00,565100,660.00
2011-09-23,667.00,668.65,654.15,655.00,421500,655.00
2011-09-22,663.75,673.80,656.00,661.00,377600,661.00
2011-09-21,668.00,668.00,658.80,663.90,204400,663.90
2011-09-20,665.00,669.00,657.55,663.00,173100,663.00
2011-09-19,664.70,666.00,650.75,663.15,271400,663.15
2011-09-16,686.00,689.45,656.40,659.50,756200,659.50
2011-09-15,670.00,675.90,665.10,675.00,270100,675.00
2011-09-14,660.00,668.65,651.60,661.95,359700,661.95
2011-09-13,661.50,662.85,652.65,656.00,144300,656.00
2011-09-12,665.00,671.50,649.40,658.80,326900,658.80
2011-09-09,668.20,672.85,654.50,663.00,488100,663.00
2011-09-08,667.65,677.80,665.15,673.15,322000,673.15
2011-09-07,671.50,677.25,665.00,673.10,251100,673.10
2011-09-06,674.90,677.60,667.20,668.40,337200,668.40
2011-09-05,677.00,680.90,663.05,665.55,261900,665.55
2011-09-02,676.00,687.40,666.00,684.90,515800,670.90
2011-08-30,685.00,685.05,668.15,673.50,474900,659.73
2011-08-29,679.00,687.40,673.55,678.10,182000,664.24
2011-08-26,686.15,692.80,658.30,677.00,276700,663.16
2011-08-25,687.90,693.40,681.05,686.00,528600,671.98
2011-08-24,681.10,693.80,681.10,686.60,236900,672.57
2011-08-23,696.00,697.50,684.00,688.00,302800,673.94
2011-08-22,683.55,694.25,683.20,694.00,419600,679.81
2011-08-19,684.95,694.00,679.10,679.55,606700,665.66
2011-08-18,684.20,687.80,674.00,680.00,118100,666.10
2011-08-17,687.75,699.00,681.75,683.70,513800,669.72
2011-08-16,683.15,693.35,681.60,688.00,328700,673.94
2011-08-12,689.90,694.90,682.10,688.80,965600,674.72
2011-08-11,690.00,696.40,686.60,688.00,451500,673.94
2011-08-10,694.00,699.00,679.95,695.00,546700,680.79
2011-08-09,703.90,712.85,686.60,687.25,995000,673.20
2011-08-08,705.00,714.45,698.00,700.60,704500,686.28
2011-08-05,688.00,709.00,686.00,701.50,1493100,687.16
2011-08-04,671.50,694.50,670.55,689.00,819300,674.92
2011-08-03,657.80,670.00,657.00,669.50,366800,655.81
2011-08-02,651.45,662.00,651.45,657.70,338900,644.26
2011-08-01,661.10,665.30,652.00,654.80,157100,641.42
2011-07-29,659.90,661.40,651.00,658.00,201200,644.55
2011-07-28,659.35,663.90,652.00,655.00,260100,641.61
2011-07-27,666.00,666.00,655.30,659.55,132400,646.07
2011-07-26,669.00,674.80,658.00,660.10,390700,646.61
2011-07-25,666.00,676.00,666.00,671.00,205500,657.28
2011-07-22,661.00,671.35,654.30,671.25,388600,657.53
2011-07-21,660.00,666.65,658.10,660.00,191400,646.51
2011-07-20,670.05,672.00,663.60,666.50,249800,652.88
2011-07-19,674.50,676.70,668.55,671.05,323800,657.33
2011-07-18,666.15,674.90,666.15,672.45,317900,658.70
2011-07-15,673.95,676.90,668.00,673.40,440100,659.64
2011-07-14,661.00,673.90,661.00,666.35,288300,652.73
2011-07-13,669.85,673.90,665.05,668.00,617500,654.35
2011-07-12,668.45,677.95,662.95,666.10,420800,652.48
2011-07-11,665.00,674.95,661.35,665.30,275500,651.70
2011-07-08,658.65,796.90,648.15,664.00,1270700,650.43
2011-07-07,648.10,665.40,648.10,664.00,379300,650.43
2011-07-06,653.40,654.00,642.00,650.00,331300,636.71
2011-07-05,641.00,662.50,641.00,659.00,771400,645.53
2011-07-04,647.85,651.20,637.00,645.50,292700,632.31
2011-07-01,650.95,651.00,641.05,645.45,253100,632.26
2011-06-30,640.00,657.05,630.55,647.95,1067200,634.71
2011-06-29,651.05,653.30,637.20,646.00,505200,632.80
2011-06-28,666.90,669.65,649.00,650.00,511800,636.71
2011-06-27,656.90,686.70,655.10,664.60,3228900,651.01
2011-06-24,630.00,641.35,625.85,637.00,1685400,623.98
2011-06-23,616.55,634.25,606.75,617.75,832100,605.12
2011-06-22,620.00,625.05,611.15,615.00,158700,602.43
2011-06-21,622.75,629.90,615.50,615.50,287700,602.92
2011-06-20,635.00,636.40,598.20,627.30,608100,614.48
2011-06-17,630.00,638.10,620.20,627.60,816300,614.77
2011-06-16,622.00,632.85,621.10,629.00,564500,616.14
2011-06-15,619.85,623.80,613.00,619.05,213900,606.40
2011-06-14,620.00,622.95,616.00,616.00,219500,603.41
2011-06-13,611.00,617.90,607.15,617.20,268100,604.58
2011-06-10,609.85,611.80,603.70,607.90,207500,595.47
2011-06-09,620.00,620.00,611.10,612.10,184400,599.59
2011-06-08,612.10,625.30,610.05,624.10,552900,611.34
2011-06-07,613.00,617.00,608.20,616.80,498800,604.19
2011-06-06,621.70,621.70,610.00,610.55,306400,598.07
2011-06-03,630.10,632.20,617.30,622.00,305800,609.29
2011-06-02,629.75,638.55,625.70,626.50,549300,613.69
2011-06-01,628.10,638.00,626.05,631.90,671900,618.98
2011-05-31,632.70,635.00,627.70,633.20,470800,620.26
2011-05-30,634.60,636.15,624.00,625.25,932900,612.47
2011-05-27,618.05,632.80,617.25,629.00,970000,616.14
2011-05-26,605.00,623.50,595.00,616.20,650700,603.60
2011-05-25,619.90,620.00,600.10,601.05,223500,588.76
2011-05-24,628.00,630.00,618.20,619.20,218500,606.54
2011-05-23,626.10,632.45,612.00,624.00,573900,611.24
2011-05-20,620.50,631.00,617.05,626.00,391200,613.20
2011-05-19,625.00,627.00,615.00,617.95,317000,605.32
2011-05-18,647.50,647.50,610.50,624.25,608000,611.49
2011-05-17,658.90,661.20,642.35,645.20,527800,632.01
2011-05-16,675.00,680.60,644.95,665.00,1388300,651.41
2011-05-13,667.00,667.00,649.35,662.00,1034800,648.47
2011-05-12,658.00,666.90,657.15,660.95,547200,647.44
2011-05-11,649.00,662.00,640.00,658.55,935600,645.09
2011-05-10,660.65,664.85,637.35,646.60,1021700,633.38
2011-05-09,669.00,669.90,650.10,655.30,596700,641.91
2011-05-06,658.20,674.50,655.20,665.00,1611900,651.41
2011-05-05,660.00,665.00,641.05,643.95,657900,630.79
2011-05-04,634.70,664.00,631.25,655.65,1712000,642.25
2011-05-03,636.00,640.85,625.20,630.00,577000,617.12
2011-05-02,630.00,644.40,626.20,633.70,565200,620.75
2011-04-29,637.00,637.90,625.40,627.00,212000,614.18
2011-04-28,635.00,637.00,627.00,635.50,276300,622.51
2011-04-27,629.00,637.00,627.10,630.50,489500,617.61
2011-04-26,627.00,633.70,622.00,627.20,505800,614.38
2011-04-25,612.10,622.70,612.10,615.50,172700,602.92
2011-04-21,610.05,621.80,608.80,617.50,270300,604.88
2011-04-20,606.00,619.90,599.25,615.55,634500,602.97
2011-04-19,592.00,607.90,585.50,605.00,650800,592.63
2011-04-18,598.30,603.00,585.00,586.80,343100,574.81
2011-04-15,595.60,603.50,590.50,597.30,340300,585.09
2011-04-13,591.30,605.80,591.30,599.50,751100,587.25
2011-04-11,589.50,592.70,586.15,586.15,319800,574.17
2011-04-08,608.50,609.85,596.10,598.50,477800,586.27
2011-04-07,605.00,616.80,603.05,614.00,554000,601.45
2011-04-06,598.10,613.00,596.80,605.00,831500,592.63
2011-04-05,595.40,602.00,592.70,595.35,339100,583.18
2011-04-04,598.10,605.40,595.10,598.95,383200,586.71
2011-04-01,601.50,608.95,597.25,606.60,275600,594.20
2011-03-31,611.00,623.70,603.05,610.10,656000,597.63
2011-03-30,614.90,619.70,605.75,609.90,578900,597.43
2011-03-29,591.90,618.00,590.20,609.00,643300,596.55
2011-03-28,594.00,599.50,583.00,586.20,345100,574.22
