Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,336.00,336.60,329.00,332.70,198600,332.70
2012-03-23,339.00,342.80,330.15,334.65,263000,334.65
2012-03-21,329.00,332.45,327.20,330.95,229200,330.95
2012-03-20,333.20,335.00,326.20,327.10,246000,327.10
2012-03-19,336.00,341.50,333.75,334.85,246100,334.85
2012-03-16,340.50,348.90,339.25,342.25,890500,342.25
2012-03-15,341.00,341.60,336.45,340.75,318800,340.75
2012-03-14,345.50,350.00,343.95,348.50,936900,348.50
2012-03-13,340.55,345.50,339.30,342.20,501900,342.20
2012-03-12,337.95,340.25,335.50,337.95,273300,337.95
2012-03-09,328.20,337.05,328.20,334.85,421200,334.85
2012-03-07,330.00,330.45,324.05,326.85,145900,326.85
2012-03-06,326.00,335.10,324.95,330.20,303800,330.20
2012-03-05,330.00,330.65,325.40,328.00,107500,328.00
2012-03-02,332.00,335.40,328.45,330.70,504800,330.70
2012-03-01,333.00,338.30,331.00,333.45,463500,333.45
2012-02-29,331.45,335.40,331.45,333.15,475400,333.15
2012-02-28,324.40,331.30,323.60,330.55,371800,330.55
2012-02-27,329.00,330.60,318.15,322.95,333700,322.95
2012-02-24,324.00,330.25,320.50,327.25,559600,327.25
2012-02-23,323.00,325.80,318.00,322.65,418900,322.65
2012-02-22,326.00,330.30,320.55,322.50,509800,322.50
2012-02-21,325.45,328.70,320.60,325.40,463600,325.40
2012-02-17,325.00,332.60,323.65,324.85,1176300,324.85
2012-02-16,339.45,339.45,320.10,321.00,2121600,321.00
2012-02-15,338.00,343.80,337.05,339.45,731100,339.45
2012-02-14,337.10,339.75,332.10,334.60,371100,334.60
2012-02-13,334.00,340.00,333.20,336.30,749900,336.30
2012-02-10,333.90,334.50,327.50,331.60,308500,331.60
2012-02-09,333.00,335.95,331.40,333.05,333500,333.05
2012-02-08,326.10,335.20,326.10,332.80,562000,332.80
2012-02-07,334.00,334.00,324.10,325.35,247900,325.35
2012-02-06,329.90,333.30,326.05,327.25,515900,327.25
2012-02-03,325.30,329.15,323.20,326.20,632100,326.20
2012-02-02,319.60,324.80,319.60,321.80,751300,321.80
2012-02-01,326.60,327.00,315.65,317.15,1117500,317.15
2012-01-31,336.50,337.50,323.65,325.65,1856900,325.65
2012-01-30,339.00,341.05,333.10,335.70,261500,335.70
2012-01-27,345.45,347.90,338.10,340.50,373800,340.50
2012-01-25,332.95,345.45,331.15,342.75,989500,342.75
2012-01-24,332.50,337.40,328.45,329.90,623800,329.90
2012-01-23,342.00,342.00,332.35,334.40,299600,334.40
2012-01-20,350.30,352.00,336.20,343.80,490400,343.80
2012-01-19,341.25,351.80,338.70,350.30,458800,350.30
2012-01-18,353.00,358.00,336.35,340.00,962900,340.00
2012-01-17,342.55,354.75,342.55,351.30,824300,351.30
2012-01-16,342.70,346.80,339.10,340.50,464600,340.50
2012-01-13,327.70,345.50,327.00,343.60,1278500,343.60
2012-01-12,322.00,327.25,318.30,325.50,935200,325.50
2012-01-11,319.35,323.50,316.55,320.20,623600,320.20
2012-01-10,317.00,321.00,315.85,317.75,332200,317.75
2012-01-06,315.70,322.65,315.70,318.15,388100,318.15
2012-01-05,323.90,327.70,313.25,320.80,778000,320.80
2012-01-04,328.40,330.55,321.45,326.50,488300,326.50
2012-01-03,315.20,329.75,315.20,326.80,794200,326.80
2012-01-02,302.60,312.35,302.60,311.70,579500,311.70
2011-12-30,300.05,302.90,297.00,300.85,407600,300.85
2011-12-29,298.70,301.95,297.50,298.70,361200,298.70
2011-12-28,297.00,301.80,295.65,299.05,284800,299.05
2011-12-27,306.90,307.50,295.20,298.15,834100,298.15
2011-12-26,302.00,306.65,301.10,305.60,357500,305.60
2011-12-23,302.00,303.00,298.65,300.10,427600,300.10
2011-12-22,303.80,303.80,293.75,299.65,761500,299.65
2011-12-21,306.80,308.70,298.50,302.55,414700,302.55
2011-12-20,306.10,310.00,300.20,301.95,250700,301.95
2011-12-19,301.00,308.30,297.65,307.15,388000,307.15
