Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,195.85,197.00,188.50,189.25,6682000,189.25
2012-03-23,195.50,198.30,192.20,197.15,5742600,197.15
2012-03-21,195.05,204.60,193.40,204.20,7886400,204.20
2012-03-20,193.25,197.00,192.00,195.80,5748400,195.80
2012-03-19,196.00,198.50,190.80,192.50,9078300,192.50
2012-03-16,198.00,201.80,193.50,196.20,10350400,196.20
2012-03-15,204.55,204.80,194.30,195.30,9879900,195.30
2012-03-14,212.00,212.30,204.05,205.10,6288300,205.10
2012-03-13,207.00,211.45,205.60,208.35,7991000,208.35
2012-03-12,207.10,209.45,200.00,203.75,8774800,203.75
2012-03-09,205.00,206.50,201.60,204.90,7564200,204.90
2012-03-07,197.00,201.80,192.25,199.00,13880600,199.00
2012-03-06,190.50,204.65,186.50,197.50,18277300,197.50
2012-03-05,203.00,203.00,190.60,193.00,10744300,193.00
2012-03-02,210.00,210.00,199.70,202.70,23796700,202.70
2012-03-01,223.60,225.00,197.15,212.00,25567700,212.00
2012-02-29,229.70,232.70,223.60,225.75,6986000,225.75
2012-02-28,217.00,227.80,216.60,225.50,6061900,225.50
2012-02-27,227.25,227.40,213.30,213.80,7496200,213.80
2012-02-24,237.00,239.85,225.00,226.50,6817900,226.50
2012-02-23,239.70,244.30,229.65,237.80,11055500,237.80
2012-02-22,259.50,261.20,236.00,240.30,8499000,240.30
2012-02-21,252.80,260.65,251.20,258.00,6988100,258.00
2012-02-17,255.00,259.85,252.10,252.60,7943100,252.60
2012-02-16,246.70,254.70,244.55,248.10,8123300,248.10
2012-02-15,238.00,250.50,237.10,249.75,9675700,249.75
2012-02-14,230.00,235.50,229.25,234.70,7563000,234.70
2012-02-13,226.30,232.25,218.50,231.20,9587600,231.20
2012-02-10,234.40,234.40,224.00,229.70,9838800,229.70
2012-02-09,232.95,239.35,228.80,232.60,13000500,232.60
2012-02-08,229.60,237.90,229.45,236.70,6438100,236.70
2012-02-07,237.50,237.55,228.00,228.00,5815500,228.00
2012-02-06,233.50,240.70,231.60,235.00,9147400,235.00
2012-02-03,227.05,231.90,224.35,229.55,7704000,229.55
2012-02-02,220.00,229.00,216.20,226.05,14238700,226.05
2012-02-01,216.10,220.00,209.65,217.10,8647400,217.10
2012-01-31,207.00,217.50,206.35,217.25,6932600,217.25
