Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,1667.00,1672.00,1642.00,1668.00,175900,1668.00
2012-03-23,1656.35,1674.00,1646.05,1668.00,163700,1668.00
2012-03-21,1678.55,1684.00,1661.60,1684.00,157200,1684.00
2012-03-20,1677.05,1684.70,1656.50,1679.85,173400,1679.85
2012-03-19,1686.00,1686.00,1653.80,1680.95,131600,1680.95
2012-03-16,1697.00,1709.00,1669.20,1675.10,172100,1675.10
2012-03-15,1677.30,1700.00,1675.00,1675.60,249300,1675.60
2012-03-14,1705.10,1719.10,1674.85,1682.15,280300,1682.15
2012-03-13,1695.00,1710.00,1692.65,1699.90,187000,1699.90
2012-03-12,1703.00,1710.00,1690.10,1700.00,174500,1700.00
2012-03-09,1697.55,1710.00,1697.55,1702.00,295600,1702.00
2012-03-07,1673.00,1705.90,1670.00,1690.00,288100,1690.00
2012-03-06,1671.00,1709.00,1661.45,1689.10,237900,1689.10
2012-03-05,1685.00,1695.00,1670.00,1675.00,217800,1675.00
2012-03-02,1673.00,1728.00,1669.95,1674.00,637400,1674.00
2012-03-01,1631.00,1689.00,1630.45,1655.00,315500,1655.00
2012-02-29,1660.00,1660.00,1620.00,1634.10,498500,1634.10
2012-02-28,1636.00,1654.85,1633.40,1650.00,145200,1650.00
2012-02-27,1613.00,1645.00,1613.00,1630.00,245000,1630.00
2012-02-24,1635.00,1650.95,1622.05,1626.95,159400,1626.95
2012-02-23,1635.00,1654.30,1615.00,1634.40,311200,1634.40
2012-02-22,1650.00,1665.00,1640.05,1643.00,282800,1643.00
2012-02-21,1636.00,1660.00,1630.50,1643.00,384100,1643.00
2012-02-17,1626.10,1640.90,1614.00,1635.00,386800,1635.00
2012-02-16,1621.00,1651.80,1615.10,1626.00,428600,1626.00
2012-02-15,1612.00,1625.00,1610.00,1619.00,429800,1619.00
2012-02-14,1623.00,1626.45,1610.00,1611.00,319900,1611.00
2012-02-13,1621.00,1638.10,1615.00,1617.00,356400,1617.00
2012-02-10,1645.00,1645.00,1615.00,1618.00,669200,1618.00
2012-02-09,1610.20,1645.00,1610.20,1639.60,403500,1639.60
2012-02-08,1633.00,1633.00,1592.00,1627.00,761600,1627.00
2012-02-07,1677.00,1677.00,1630.00,1634.00,463100,1634.00
2012-02-06,1690.00,1695.00,1638.45,1641.80,722800,1641.80
2012-02-03,1653.00,1682.00,1635.35,1670.00,1562600,1670.00
2012-02-02,1679.00,1692.55,1601.00,1636.90,651900,1636.90
2012-02-01,1694.00,1698.80,1667.10,1682.00,200900,1682.00
2012-01-31,1660.25,1705.00,1650.00,1690.00,426500,1690.00
2012-01-30,1640.00,1662.30,1626.25,1650.70,200100,1650.70
2012-01-27,1655.00,1667.00,1534.75,1646.00,805400,1646.00
2012-01-25,1650.20,1655.95,1628.00,1650.00,470900,1650.00
2012-01-24,1662.00,1662.00,1638.00,1645.00,178900,1645.00
2012-01-23,1639.95,1657.95,1631.15,1652.25,177000,1652.25
2012-01-20,1694.00,1694.00,1632.10,1641.20,427900,1641.20
2012-01-19,1668.00,1703.85,1655.00,1693.00,348100,1693.00
2012-01-18,1645.00,1675.00,1640.00,1669.00,286400,1669.00
2012-01-17,1645.65,1653.50,1622.05,1640.05,263300,1640.05
2012-01-16,1650.00,1650.00,1627.90,1641.45,125100,1641.45
2012-01-13,1653.00,1667.00,1636.40,1655.55,235000,1655.55
2012-01-12,1652.00,1669.75,1644.20,1660.00,231500,1660.00
2012-01-11,1623.85,1656.00,1614.40,1650.15,391500,1650.15
2012-01-10,1607.00,1626.45,1603.00,1616.00,351800,1616.00
2012-01-06,1580.00,1619.00,1570.10,1608.85,381700,1608.85
2012-01-05,1601.80,1601.80,1570.30,1575.00,240500,1575.00
2012-01-04,1602.00,1605.35,1578.25,1592.10,250400,1592.10
2012-01-03,1578.25,1611.90,1575.60,1600.00,177100,1600.00
2012-01-02,1584.95,1590.00,1565.95,1570.00,95200,1570.00
2011-12-30,1576.80,1588.85,1565.00,1588.05,116000,1588.05
2011-12-29,1565.00,1583.15,1562.10,1567.95,392100,1567.95
2011-12-28,1581.95,1588.90,1556.00,1566.00,101000,1566.00
2011-12-27,1592.00,1592.00,1575.30,1580.10,107500,1580.10
2011-12-26,1605.00,1606.80,1575.55,1575.55,116500,1575.55
2011-12-23,1572.00,1602.95,1572.00,1588.00,246600,1588.00
2011-12-22,1554.00,1583.25,1545.45,1572.00,226200,1572.00
2011-12-21,1570.05,1586.00,1552.00,1568.00,368100,1568.00
2011-12-20,1590.00,1597.50,1562.15,1574.65,329600,1574.65
2011-12-19,1605.30,1605.30,1564.50,1593.00,363300,1593.00
2011-12-16,1585.10,1639.00,1582.20,1598.00,557500,1598.00
2011-12-15,1574.00,1591.60,1571.25,1585.10,546700,1585.10
2011-12-14,1605.00,1615.95,1577.45,1585.00,342100,1585.00
2011-12-13,1567.00,1617.05,1565.40,1600.00,689700,1600.00
2011-12-12,1582.00,1584.00,1542.00,1572.15,368800,1572.15
2011-12-09,1536.00,1600.00,1536.00,1572.00,574400,1572.00
2011-12-08,1543.00,1569.00,1538.40,1559.90,320900,1559.90
2011-12-07,1571.00,1604.20,1540.05,1549.00,464200,1549.00
2011-12-05,1570.00,1584.85,1552.10,1573.25,315800,1573.25
2011-12-02,1539.00,1584.45,1531.35,1570.00,257400,1570.00
2011-12-01,1598.00,1598.00,1536.10,1541.00,634000,1541.00
2011-11-30,1571.00,1590.00,1562.95,1568.00,379900,1568.00
2011-11-29,1559.00,1603.70,1552.00,1590.00,455700,1590.00
2011-11-28,1564.90,1564.90,1541.00,1545.00,282500,1545.00
2011-11-25,1554.00,1565.00,1533.00,1542.20,224200,1542.20
2011-11-24,1522.00,1605.00,1516.00,1536.00,516900,1536.00
2011-11-23,1535.00,1559.80,1500.00,1538.00,338700,1538.00
2011-11-22,1538.90,1564.75,1509.10,1534.00,355600,1534.00
