Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,2852.00,2868.00,2821.00,2831.45,44500,2831.45
2012-03-23,2839.00,2885.00,2833.00,2870.35,43200,2870.35
2012-03-21,2827.20,2890.00,2823.05,2866.90,45400,2866.90
2012-03-20,2823.55,2852.00,2803.05,2825.30,84800,2825.30
2012-03-19,2888.10,2897.20,2812.15,2833.05,40700,2833.05
2012-03-16,2900.00,2910.00,2850.15,2866.05,68100,2866.05
2012-03-15,2882.15,2902.25,2870.00,2881.80,35100,2881.80
2012-03-14,2885.00,2915.35,2835.55,2879.30,120100,2879.30
2012-03-13,2836.20,2868.00,2836.20,2859.45,38100,2859.45
2012-03-12,2911.05,2911.50,2787.00,2911.05,86900,2911.05
2012-03-09,2900.00,2904.40,2852.10,2859.85,46700,2859.85
2012-03-07,2845.00,2888.00,2837.00,2879.60,98900,2879.60
2012-03-06,2804.00,2879.70,2802.60,2849.05,52600,2849.05
2012-03-05,2852.00,2865.45,2796.00,2809.35,40700,2809.35
2012-03-02,2860.20,2865.00,2816.50,2846.60,47800,2846.60
2012-03-01,2865.00,2870.00,2806.30,2848.80,70500,2848.80
2012-02-29,2900.00,2909.00,2865.00,2875.40,96600,2875.40
2012-02-28,2885.00,2908.75,2855.00,2871.45,63100,2871.45
2012-02-27,2960.10,2960.10,2855.00,2878.90,57000,2878.90
2012-02-24,2936.00,2972.00,2926.30,2947.30,59200,2947.30
2012-02-23,2931.00,2981.55,2916.00,2935.00,67300,2935.00
2012-02-22,2940.00,2990.00,2908.00,2952.65,139100,2952.65
2012-02-21,2932.00,2958.95,2912.25,2937.15,65200,2937.15
2012-02-17,2911.00,2975.00,2900.00,2950.60,139000,2950.60
2012-02-16,2860.00,2908.60,2860.00,2903.35,95900,2903.35
2012-02-15,2816.10,2875.00,2816.10,2867.25,122900,2867.25
2012-02-14,2775.00,2808.00,2765.00,2800.40,69100,2800.40
2012-02-13,2779.95,2794.55,2752.10,2784.30,51500,2784.30
2012-02-10,2790.05,2798.75,2753.65,2782.70,69500,2782.70
2012-02-09,2750.00,2820.00,2732.00,2807.25,76900,2807.25
2012-02-08,2749.00,2779.90,2745.00,2768.65,58600,2768.65
2012-02-07,2800.10,2800.10,2714.35,2725.05,210300,2725.05
2012-02-06,2802.20,2809.00,2755.20,2776.30,75400,2776.30
2012-02-03,2740.00,2786.60,2739.00,2779.95,75100,2779.95
2012-02-02,2744.90,2780.00,2728.55,2753.45,84100,2753.45
2012-02-01,2741.70,2741.70,2695.85,2734.85,75300,2734.85
2012-01-31,2715.00,2752.00,2708.00,2743.35,72500,2743.35
2012-01-30,2700.00,2719.00,2690.05,2705.90,63600,2705.90
2012-01-27,2695.00,2729.90,2686.05,2720.60,136700,2720.60
2012-01-25,2630.00,2670.00,2624.75,2659.75,91100,2659.75
2012-01-24,2621.00,2639.20,2595.35,2620.10,81900,2620.10
2012-01-23,2580.00,2616.00,2580.00,2599.95,71300,2599.95
2012-01-20,2599.90,2609.95,2575.20,2583.55,105800,2583.55
2012-01-19,2608.30,2623.55,2577.00,2591.90,119500,2591.90
2012-01-18,2644.00,2644.00,2585.30,2610.55,120800,2610.55
2012-01-17,2650.00,2668.00,2634.10,2660.25,145100,2660.25
2012-01-16,2584.80,2641.00,2580.00,2634.10,221600,2634.10
2012-01-13,2611.00,2618.75,2555.00,2585.55,426100,2585.55
2012-01-12,2744.00,2744.00,2578.00,2588.60,1029500,2588.60
2012-01-11,2867.00,2895.30,2812.50,2826.00,185300,2826.00
2012-01-10,2857.00,2876.90,2850.10,2863.00,160500,2863.00
2012-01-06,2838.90,2868.35,2810.00,2830.65,198900,2830.65
2012-01-05,2840.00,2876.00,2831.00,2838.90,122500,2838.90
2012-01-04,2854.00,2872.00,2842.00,2854.25,148200,2854.25
2012-01-03,2825.00,2886.70,2819.55,2864.60,192200,2864.60
2012-01-02,2763.90,2813.70,2742.00,2804.85,127800,2804.85
2011-12-30,2745.80,2774.00,2741.00,2765.05,51600,2765.05
2011-12-29,2755.00,2774.90,2730.00,2743.65,70700,2743.65
2011-12-28,2760.15,2800.00,2754.00,2780.85,217800,2780.85
2011-12-27,2767.95,2799.00,2740.00,2761.65,93400,2761.65
2011-12-26,2689.00,2782.00,2689.00,2773.35,109400,2773.35
2011-12-23,2735.15,2736.35,2683.15,2694.85,82500,2694.85
2011-12-22,2679.80,2744.25,2647.80,2714.80,119700,2714.80
2011-12-21,2714.90,2753.45,2681.00,2744.25,186100,2744.25
2011-12-20,2686.00,2698.60,2651.95,2667.35,99100,2667.35
2011-12-19,2695.00,2703.50,2655.60,2674.15,104700,2674.15
2011-12-16,2699.00,2775.00,2691.35,2717.20,147200,2717.20
2011-12-15,2729.00,2731.90,2665.00,2715.25,138900,2715.25
2011-12-14,2753.00,2765.00,2726.50,2740.90,107300,2740.90
2011-12-13,2724.10,2764.20,2710.00,2754.65,265000,2754.65
2011-12-12,2719.00,2748.80,2700.00,2731.25,173400,2731.25
2011-12-09,2667.50,2734.20,2659.25,2706.15,94900,2706.15
2011-12-08,2747.00,2758.00,2697.00,2723.75,83900,2723.75
2011-12-07,2710.00,2769.00,2685.00,2752.80,143700,2752.80
2011-12-05,2694.95,2713.00,2675.00,2700.05,56600,2700.05
2011-12-02,2650.00,2715.00,2635.00,2696.80,80600,2696.80
2011-12-01,2665.00,2691.00,2635.05,2652.80,87100,2652.80
2011-11-30,2505.35,2622.00,2505.35,2607.55,108400,2607.55
2011-11-29,2632.00,2633.60,2585.05,2606.10,186200,2606.10
2011-11-28,2620.00,2655.00,2613.00,2643.25,241300,2643.25
2011-11-25,2654.00,2654.00,2590.05,2600.60,193600,2600.60
2011-11-24,2648.00,2682.90,2588.05,2666.60,165200,2666.60
2011-11-23,2688.00,2688.90,2615.80,2650.55,111100,2650.55
2011-11-22,2629.00,2760.55,2612.00,2723.15,260400,2723.15
2011-11-21,2723.00,2733.00,2600.10,2661.20,105500,2661.20
2011-11-18,2735.00,2763.00,2720.50,2739.50,58700,2739.50
2011-11-17,2769.00,2787.25,2731.65,2750.80,85500,2750.80
2011-11-16,2796.00,2803.70,2758.45,2776.10,76200,2776.10
2011-11-15,2804.70,2818.90,2780.10,2792.50,106300,2792.50
2011-11-14,2805.00,2830.00,2797.05,2808.45,68200,2808.45
2011-11-11,2750.00,2806.45,2720.00,2775.60,160900,2775.60
2011-11-09,2841.00,2861.90,2821.50,2832.10,100800,2832.10
2011-11-08,2810.00,2847.00,2791.10,2839.15,143700,2839.15
2011-11-04,2846.00,2850.00,2794.00,2829.10,237100,2829.10
2011-11-03,2833.70,2842.00,2767.55,2802.15,102100,2802.15
2011-11-02,2823.00,2853.55,2815.00,2828.65,126500,2828.65
2011-11-01,2840.10,2874.75,2817.00,2837.20,91200,2837.20
2011-10-31,2846.00,2897.90,2846.00,2875.20,122800,2875.20
2011-10-28,2906.00,2971.30,2845.00,2859.65,220900,2859.65
2011-10-26,2862.00,2874.90,2831.00,2838.75,43100,2838.75
2011-10-25,2800.00,2890.00,2800.00,2853.50,221200,2853.50
2011-10-24,2747.00,2773.80,2742.05,2767.70,81300,2767.70
2011-10-21,2746.00,2746.00,2707.20,2722.70,93600,2722.70
2011-10-20,2692.00,2758.00,2686.00,2745.95,85300,2745.95
2011-10-19,2720.00,2734.00,2701.00,2727.25,116000,2712.25
2011-10-18,2699.00,2724.00,2686.70,2703.10,225600,2688.23
2011-10-17,2761.00,2763.00,2720.40,2747.25,257700,2732.14
2011-10-14,2707.00,2750.10,2687.00,2744.65,271000,2729.55
2011-10-13,2712.00,2728.00,2651.00,2695.35,310000,2680.53
2011-10-12,2601.00,2690.00,2601.00,2680.50,952400,2665.76
2011-10-11,2583.00,2595.30,2493.10,2509.20,290800,2495.40
2011-10-10,2544.00,2599.00,2529.80,2591.30,152300,2577.05
2011-10-07,2555.35,2574.80,2488.00,2507.05,205900,2493.26
2011-10-05,2463.05,2499.00,2438.00,2454.30,126300,2440.80
2011-10-04,2447.10,2483.30,2420.00,2440.70,133500,2427.28
2011-10-03,2483.00,2517.00,2468.55,2476.35,125400,2462.73
2011-09-30,2529.00,2564.00,2510.10,2533.80,155400,2519.86
2011-09-29,2475.00,2567.90,2472.10,2550.00,232100,2535.97
2011-09-28,2480.00,2537.25,2455.20,2474.85,443100,2461.24
2011-09-27,2376.90,2468.00,2376.90,2446.00,175200,2432.55
2011-09-26,2342.55,2366.00,2302.00,2355.15,144300,2342.20
2011-09-23,2336.00,2390.50,2321.00,2340.10,157300,2327.23
2011-09-22,2384.00,2409.95,2338.00,2353.60,163200,2340.66
2011-09-21,2436.20,2454.00,2418.10,2433.40,117000,2420.02
2011-09-20,2375.00,2450.00,2375.00,2437.70,167200,2424.29
2011-09-19,2392.20,2409.55,2356.05,2361.65,78200,2348.66
2011-09-16,2440.00,2449.00,2374.05,2393.40,194800,2380.24
2011-09-15,2377.00,2422.40,2329.15,2405.55,243200,2392.32
2011-09-14,2247.10,2363.90,2247.10,2353.05,296200,2340.11
2011-09-13,2226.00,2258.50,2199.00,2224.40,123400,2212.17
2011-09-12,2219.00,2219.00,2183.05,2197.75,182200,2185.66
2011-09-09,2331.00,2331.00,2259.00,2271.20,156500,2258.71
2011-09-08,2304.00,2353.00,2300.00,2338.65,184800,2325.79
2011-09-07,2301.00,2313.80,2267.90,2291.20,170300,2278.60
2011-09-06,2250.10,2326.00,2223.50,2303.40,129000,2290.73
2011-09-05,2287.90,2287.90,2241.00,2263.85,116800,2251.40
2011-09-02,2370.00,2379.00,2277.00,2315.55,109900,2302.81
2011-08-30,2325.70,2360.00,2280.15,2342.80,168400,2329.91
2011-08-29,2235.20,2312.20,2235.20,2297.85,129700,2285.21
2011-08-26,2189.90,2253.85,2183.05,2204.55,311800,2192.42
2011-08-25,2245.00,2264.00,2169.00,2189.65,217900,2177.61
2011-08-24,2280.00,2280.00,2231.00,2249.95,112800,2237.58
2011-08-23,2204.60,2300.00,2195.00,2274.00,198500,2261.49
2011-08-22,2217.90,2247.65,2171.85,2194.05,252900,2181.98
2011-08-19,2272.00,2272.00,2172.65,2225.40,425700,2213.16
2011-08-18,2465.00,2467.00,2351.00,2362.05,157600,2349.06
2011-08-17,2400.00,2463.00,2400.00,2449.15,106100,2435.68
2011-08-16,2411.25,2438.00,2375.20,2392.65,115100,2379.49
2011-08-12,2482.05,2485.00,2343.70,2374.45,197700,2361.39
2011-08-11,2428.05,2465.00,2414.00,2438.95,95400,2425.54
2011-08-10,2454.00,2475.10,2412.45,2445.60,139200,2432.15
2011-08-09,2398.00,2439.00,2350.00,2377.10,333000,2364.03
2011-08-08,2500.00,2500.00,2431.40,2468.00,258900,2454.43
2011-08-05,2660.00,2660.00,2530.00,2590.55,216300,2576.30
2011-08-04,2737.60,2757.90,2704.65,2708.30,49000,2693.40
2011-08-03,2739.00,2740.00,2710.20,2732.05,37400,2717.02
2011-08-02,2804.95,2804.95,2746.00,2752.85,44500,2737.71
2011-08-01,2780.00,2819.95,2780.00,2809.15,27700,2793.70
2011-07-29,2745.00,2778.50,2729.00,2766.80,38100,2751.58
2011-07-28,2775.00,2775.00,2736.00,2747.40,49700,2732.29
2011-07-27,2800.00,2833.65,2787.20,2796.05,46100,2780.67
2011-07-26,2803.05,2824.00,2787.20,2799.60,42600,2784.20
2011-07-25,2819.40,2823.00,2790.35,2806.60,49500,2791.16
2011-07-22,2778.00,2838.00,2775.50,2825.35,97200,2809.81
2011-07-21,2751.90,2782.00,2735.00,2767.30,77500,2752.08
2011-07-20,2765.00,2771.00,2745.00,2751.65,77200,2736.52
2011-07-19,2727.80,2772.00,2717.10,2753.35,99100,2738.21
2011-07-18,2744.90,2744.90,2709.00,2714.05,238300,2699.12
2011-07-15,3289.10,3289.10,2725.00,2730.55,192500,2715.53
2011-07-14,2764.95,2766.00,2732.40,2740.95,272200,2725.87
2011-07-13,2767.00,2808.00,2762.80,2784.20,161900,2768.89
2011-07-12,2850.00,2850.00,2749.35,2794.25,673700,2778.88
2011-07-11,2945.00,2974.00,2890.00,2919.00,112800,2902.95
2011-07-08,3000.00,3020.00,2965.65,2977.90,54900,2961.52
