Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,223.00,224.30,221.00,222.90,6889000,222.90
2012-03-23,221.40,224.75,219.75,222.85,7854100,222.85
2012-03-21,223.60,224.90,220.85,224.50,10739600,224.50
2012-03-20,220.45,224.50,219.10,223.45,10724400,223.45
2012-03-19,217.00,223.70,215.45,220.30,23669300,220.30
2012-03-16,208.25,225.00,208.25,218.20,43904700,218.20
2012-03-15,212.00,213.10,207.80,210.05,10388500,210.05
2012-03-14,210.00,213.35,210.00,212.20,6543900,212.20
2012-03-13,207.00,209.50,207.00,209.50,5823300,209.50
2012-03-12,210.40,210.40,206.10,207.25,3826600,207.25
2012-03-09,211.15,212.75,207.55,208.25,9885500,208.25
2012-03-07,210.00,211.00,208.10,210.00,5248700,210.00
2012-03-06,206.65,211.70,205.20,210.20,10048600,210.20
2012-03-05,205.10,207.95,203.70,207.80,8038300,207.80
2012-03-02,207.10,207.55,203.40,205.85,5706500,205.85
2012-03-01,207.60,209.90,204.80,206.60,5070800,206.60
2012-02-29,211.00,213.00,206.65,208.15,8858500,208.15
2012-02-28,212.15,213.50,210.05,210.45,8765800,210.45
2012-02-27,210.00,212.90,208.50,212.20,11607700,212.20
2012-02-24,208.60,210.95,208.30,209.60,6058100,209.60
2012-02-23,208.85,210.10,205.65,207.55,10898700,207.55
2012-02-22,207.00,209.40,206.10,209.00,8611000,209.00
2012-02-21,205.45,208.70,205.45,207.50,10273700,207.50
2012-02-17,204.15,205.90,203.10,205.05,11001500,205.05
2012-02-16,203.50,204.60,202.10,204.20,9189400,204.20
2012-02-15,203.10,204.00,202.10,202.40,10361100,202.40
2012-02-14,202.60,203.70,202.00,202.65,4253900,202.65
2012-02-13,203.80,204.75,202.15,202.75,4725600,202.75
2012-02-10,203.85,204.80,202.00,203.85,6842800,203.85
2012-02-09,203.55,204.90,202.00,203.65,5069900,203.65
2012-02-08,205.95,207.45,202.00,204.50,7568900,204.50
2012-02-07,204.40,205.90,202.10,205.45,8022500,205.45
2012-02-06,202.00,202.90,200.25,202.35,7062300,202.35
2012-02-03,199.00,201.25,197.00,200.65,8618200,200.65
2012-02-02,202.05,202.25,198.40,199.55,7334800,199.55
2012-02-01,203.35,203.40,200.30,201.35,5807800,201.35
2012-01-31,202.90,204.80,201.30,203.95,7740500,203.95
2012-01-30,202.00,203.65,199.65,200.95,8274900,200.95
2012-01-27,207.50,207.50,199.70,202.10,10222200,202.10
2012-01-25,206.50,207.00,204.75,205.50,6942800,205.50
2012-01-24,205.10,207.25,204.20,205.20,6226300,205.20
2012-01-23,201.65,205.00,198.40,204.95,8841800,204.95
2012-01-20,209.95,211.30,199.80,200.00,17214400,200.00
2012-01-19,210.35,211.00,208.25,208.55,6212800,208.55
2012-01-18,207.35,210.70,207.00,210.50,6663700,210.50
2012-01-17,209.00,210.20,206.80,209.05,6819900,209.05
2012-01-16,206.85,209.70,206.50,209.00,6266100,209.00
2012-01-13,204.90,207.70,204.30,207.35,7659600,207.35
2012-01-12,203.00,205.40,202.75,204.85,4928400,204.85
2012-01-11,205.15,205.60,202.50,203.50,5409300,203.50
2012-01-10,202.20,205.75,202.20,205.50,3608200,205.50
2012-01-06,199.05,203.10,198.35,202.60,5858800,202.60
2012-01-05,199.05,200.00,197.60,199.95,7576300,199.95
2012-01-04,201.50,201.70,198.50,199.60,7916700,199.60
2012-01-03,199.85,201.55,199.30,199.60,4043700,199.60
2012-01-02,201.85,201.85,197.90,198.15,1907200,198.15
2011-12-30,200.65,203.00,200.25,200.65,2311600,200.65
2011-12-29,201.25,203.40,200.00,201.85,6464100,201.85
2011-12-28,205.60,205.70,201.50,201.70,3133000,201.70
2011-12-27,204.90,206.00,202.30,205.25,4659200,205.25
2011-12-26,203.40,205.85,202.80,204.50,3847500,204.50
2011-12-23,204.40,205.00,202.25,204.10,5517700,204.10
2011-12-22,200.90,204.00,200.50,203.00,6294500,203.00
2011-12-21,201.30,202.95,199.55,201.95,6973900,201.95
2011-12-20,199.00,200.75,198.15,199.85,8652500,199.85
2011-12-19,194.70,198.00,192.30,197.30,7277500,197.30
2011-12-16,199.05,203.35,194.00,195.35,6701600,195.35
2011-12-15,199.00,201.50,197.45,199.55,9704100,199.55
2011-12-14,197.35,201.50,197.00,200.20,10786300,200.20
2011-12-13,195.50,198.00,195.05,197.50,4924900,197.50
2011-12-12,198.85,199.35,194.80,196.40,6771500,196.40
2011-12-09,197.10,198.60,194.70,196.85,5583300,196.85
2011-12-08,204.95,206.20,197.50,197.75,6767500,197.75
2011-12-07,205.00,208.00,203.55,204.30,7551600,204.30
2011-12-05,206.00,207.60,202.65,204.40,3883100,204.40
