Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,1297.80,1297.80,1274.00,1276.85,1276800,1276.85
2012-03-23,1306.00,1324.00,1286.90,1300.10,1595900,1300.10
2012-03-21,1285.25,1357.65,1277.40,1344.00,2954900,1344.00
2012-03-20,1298.00,1316.00,1280.00,1287.80,1699400,1287.80
2012-03-19,1324.00,1327.40,1286.30,1295.00,1699500,1295.00
2012-03-16,1371.80,1381.85,1314.20,1317.00,3141800,1317.00
2012-03-15,1390.45,1394.80,1348.65,1363.75,1795800,1363.75
2012-03-14,1385.00,1407.75,1382.50,1398.50,2689900,1398.50
2012-03-13,1362.10,1375.00,1356.00,1363.00,1549100,1363.00
2012-03-12,1322.00,1359.80,1322.00,1346.05,2862200,1346.05
2012-03-09,1263.00,1310.00,1260.35,1303.00,2752100,1303.00
2012-03-07,1231.00,1251.95,1210.00,1235.25,2537400,1235.25
2012-03-06,1259.00,1308.00,1231.00,1232.50,2802000,1232.50
2012-03-05,1289.00,1289.25,1258.50,1263.00,1682600,1263.00
2012-03-02,1290.00,1320.95,1271.15,1297.05,2457900,1297.05
2012-03-01,1304.35,1304.35,1262.05,1273.50,3192600,1273.50
2012-02-29,1365.10,1379.00,1297.00,1305.00,4112500,1305.00
2012-02-28,1315.75,1359.40,1278.00,1358.95,4212000,1358.95
2012-02-27,1335.35,1349.80,1288.80,1293.00,2519100,1293.00
2012-02-24,1406.00,1417.45,1340.65,1353.95,2416300,1353.95
2012-02-23,1415.30,1429.00,1385.00,1404.00,2517600,1404.00
2012-02-22,1451.00,1464.60,1414.05,1421.00,3013000,1421.00
2012-02-21,1450.00,1478.75,1438.00,1446.00,2156900,1446.00
2012-02-17,1457.65,1531.80,1439.30,1458.00,4261500,1458.00
2012-02-16,1441.00,1468.65,1433.30,1444.00,2229500,1444.00
2012-02-15,1401.15,1463.00,1401.15,1449.00,3854000,1449.00
2012-02-14,1325.00,1399.00,1318.15,1397.50,2030700,1397.50
2012-02-13,1354.90,1354.90,1316.80,1327.00,2472300,1327.00
2012-02-10,1345.00,1375.00,1336.50,1342.50,1692500,1342.50
2012-02-09,1362.60,1371.50,1340.20,1358.90,2099900,1358.90
2012-02-08,1355.00,1379.90,1350.00,1366.00,1665600,1366.00
2012-02-07,1395.00,1395.00,1348.05,1355.00,2154800,1355.00
2012-02-06,1374.00,1397.40,1362.40,1384.15,2235200,1384.15
2012-02-03,1360.00,1365.00,1335.85,1351.50,1756900,1351.50
2012-02-02,1359.80,1376.95,1342.00,1358.20,2955400,1358.20
2012-02-01,1309.00,1347.85,1294.00,1342.60,3276700,1342.60
2012-01-31,1317.00,1321.00,1278.00,1308.10,4222400,1308.10
2012-01-30,1369.00,1373.55,1296.55,1302.00,2049300,1302.00
2012-01-27,1345.00,1388.00,1327.15,1386.00,2969700,1386.00
2012-01-25,1352.00,1367.30,1316.20,1325.50,3097000,1325.50
2012-01-24,1289.80,1366.45,1286.65,1353.00,5446600,1353.00
2012-01-23,1269.00,1297.00,1226.05,1273.00,5093700,1273.00
2012-01-20,1283.90,1293.00,1256.75,1275.00,2450800,1275.00
2012-01-19,1255.00,1281.45,1246.00,1280.00,1977500,1280.00
2012-01-18,1265.00,1286.95,1234.05,1238.00,3271600,1238.00
2012-01-17,1210.00,1275.00,1210.00,1263.00,3028400,1263.00
2012-01-16,1165.00,1208.50,1146.20,1208.00,2189100,1208.00
2012-01-13,1139.00,1177.95,1132.00,1169.95,2228400,1169.95
2012-01-12,1143.00,1172.65,1124.45,1127.00,2428800,1127.00
2012-01-11,1138.00,1151.00,1121.20,1144.90,1953800,1144.90
2012-01-10,1095.25,1140.20,1095.25,1134.85,2697300,1134.85
2012-01-06,1079.00,1092.50,1061.05,1084.40,1747300,1084.40
2012-01-05,1070.00,1095.00,1065.10,1087.65,2624000,1087.65
2012-01-04,1064.40,1077.90,1051.00,1069.00,2597300,1069.00
2012-01-03,1021.90,1064.70,1020.00,1061.00,2353500,1061.00
2012-01-02,1002.00,1015.00,990.70,1014.30,1470200,1014.30
2011-12-30,1005.00,1012.00,990.50,995.10,2467600,995.10
2011-12-29,1024.90,1027.75,994.10,999.00,2011500,999.00
2011-12-28,1024.00,1034.30,1007.10,1032.00,1431200,1032.00
2011-12-27,1028.40,1049.50,1020.00,1030.00,2302300,1030.00
2011-12-26,1015.75,1033.75,1014.00,1024.00,1173600,1024.00
2011-12-23,1019.90,1043.70,999.00,1009.20,3676900,1009.20
2011-12-22,997.00,1017.45,978.10,1013.45,4436500,1013.45
2011-12-21,999.00,1011.00,969.15,1006.05,6313500,1006.05
2011-12-20,1028.30,1032.70,970.50,972.00,5491500,972.00
2011-12-19,1067.00,1067.00,1025.10,1028.30,3454000,1028.30
2011-12-16,1146.60,1154.00,1060.00,1061.05,4212700,1061.05
2011-12-15,1151.90,1156.55,1112.60,1132.60,2909100,1132.60
2011-12-14,1163.60,1193.90,1156.00,1161.05,2270800,1161.05
2011-12-13,1185.20,1186.75,1154.00,1174.40,2498500,1174.40
2011-12-12,1240.15,1242.10,1187.20,1193.20,2301700,1193.20
2011-12-09,1244.80,1254.30,1218.30,1226.00,2285300,1226.00
2011-12-08,1325.00,1330.00,1251.70,1260.00,2322300,1260.00
2011-12-07,1315.00,1335.00,1307.80,1330.00,1463200,1330.00
2011-12-05,1303.00,1323.95,1294.00,1315.50,1414100,1315.50
2011-12-02,1297.80,1314.20,1278.25,1310.00,1698600,1310.00
2011-12-01,1306.00,1325.90,1286.50,1289.00,2267600,1289.00
2011-11-30,1266.00,1277.50,1250.10,1276.35,1964900,1276.35
2011-11-29,1280.00,1289.45,1258.15,1277.30,1995100,1277.30
2011-11-28,1284.00,1295.80,1260.20,1280.00,1781400,1280.00
2011-11-25,1217.00,1285.80,1210.00,1264.70,3776200,1264.70
2011-11-24,1190.00,1229.80,1174.25,1224.50,3590500,1224.50
2011-11-23,1218.00,1230.00,1182.50,1190.50,2650400,1190.50
2011-11-22,1230.00,1243.70,1221.30,1227.00,1697100,1227.00
2011-11-21,1249.00,1263.60,1220.00,1225.00,2591500,1225.00
2011-11-18,1229.00,1252.95,1201.10,1248.90,2808200,1248.90
2011-11-17,1233.00,1254.80,1220.35,1229.95,2483800,1229.95
2011-11-16,1276.90,1276.90,1224.00,1245.80,3480900,1245.80
2011-11-15,1326.00,1339.80,1275.50,1276.15,1544100,1276.15
2011-11-14,1349.00,1349.90,1320.00,1328.35,1377700,1328.35
2011-11-11,1367.00,1368.80,1322.50,1333.45,1998300,1333.45
2011-11-09,1401.00,1401.00,1369.05,1373.45,1342700,1373.45
2011-11-08,1401.00,1405.00,1378.55,1390.10,1572000,1390.10
2011-11-04,1399.75,1405.90,1386.60,1391.00,1613200,1391.00
2011-11-03,1384.10,1389.00,1361.40,1385.15,1860500,1385.15
2011-11-02,1375.00,1399.50,1366.70,1391.05,2212300,1391.05
2011-11-01,1395.00,1396.00,1378.00,1387.40,1842400,1387.40
2011-10-31,1417.00,1429.00,1402.40,1410.00,1464900,1410.00
2011-10-28,1384.90,1422.00,1381.15,1416.15,2769400,1416.15
2011-10-26,1349.00,1354.95,1340.00,1350.00,553300,1350.00
2011-10-25,1293.35,1341.00,1267.65,1339.15,4839300,1339.15
2011-10-24,1349.90,1350.00,1291.00,1296.00,4233000,1296.00
2011-10-21,1385.00,1417.90,1325.00,1332.00,5783900,1332.00
2011-10-20,1382.80,1389.00,1371.20,1385.00,1551500,1385.00
2011-10-19,1360.00,1404.80,1356.60,1393.90,1800300,1393.90
2011-10-18,1363.00,1365.50,1339.10,1349.00,1589000,1349.00
2011-10-17,1417.50,1418.90,1375.35,1377.25,1206800,1377.25
2011-10-14,1414.00,1428.85,1399.00,1406.60,1471000,1406.60
2011-10-13,1448.00,1450.00,1413.00,1413.10,1168700,1413.10
2011-10-12,1420.00,1447.30,1403.40,1442.00,1721500,1442.00
2011-10-11,1401.00,1424.90,1401.00,1408.00,1352000,1408.00
2011-10-10,1393.00,1400.75,1368.15,1392.00,1480800,1392.00
2011-10-07,1381.00,1398.50,1375.00,1386.55,1769100,1386.55
2011-10-05,1350.00,1367.50,1339.15,1348.85,1541600,1348.85
2011-10-04,1316.00,1363.50,1311.15,1347.00,2926100,1347.00
2011-10-03,1343.70,1343.75,1302.65,1321.00,2412200,1321.00
2011-09-30,1371.00,1398.40,1350.80,1356.95,3043400,1356.95
2011-09-29,1401.80,1401.80,1348.65,1373.55,4265100,1373.55
2011-09-28,1453.80,1454.35,1400.05,1402.30,1804300,1402.30
2011-09-27,1455.10,1462.00,1442.00,1446.40,1241000,1446.40
2011-09-26,1454.00,1457.00,1410.00,1423.80,1933100,1423.80
2011-09-23,1480.00,1480.00,1440.10,1453.95,2883300,1453.95
2011-09-22,1542.60,1542.60,1480.10,1483.70,3444600,1483.70
2011-09-21,1566.70,1589.00,1553.15,1557.00,1514800,1557.00
2011-09-20,1564.00,1572.60,1551.00,1564.10,2503200,1564.10
2011-09-19,1598.00,1598.00,1559.95,1560.50,2015100,1560.50
2011-09-16,1602.15,1632.40,1597.10,1612.00,1779400,1612.00
2011-09-15,1620.90,1620.90,1575.15,1590.00,2050400,1590.00
2011-09-14,1637.20,1640.00,1596.10,1610.00,1956900,1610.00
2011-09-13,1645.00,1673.05,1624.00,1626.00,869400,1626.00
2011-09-12,1665.00,1670.00,1626.00,1645.00,1771600,1645.00
2011-09-09,1705.05,1714.00,1678.65,1690.00,1955900,1690.00
2011-09-08,1689.00,1723.00,1655.10,1705.20,2330500,1705.20
2011-09-07,1644.15,1693.90,1644.15,1682.00,2107300,1682.00
2011-09-06,1620.10,1649.00,1601.85,1647.90,1603000,1647.90
2011-09-05,1584.00,1634.00,1580.00,1625.00,1764300,1625.00
2011-09-02,1624.70,1625.00,1587.45,1609.00,1421500,1609.00
2011-08-30,1627.50,1647.00,1571.40,1614.00,2031200,1614.00
2011-08-29,1557.00,1637.45,1542.60,1617.00,1818300,1617.00
2011-08-26,1551.50,1569.00,1525.00,1525.45,1834900,1525.45
