Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,688.00,688.00,675.10,681.85,132300,681.85
2012-03-23,680.00,694.00,675.00,688.75,131000,688.75
2012-03-21,682.00,701.55,682.00,698.90,265800,698.90
2012-03-20,689.00,697.90,680.35,685.50,190200,685.50
2012-03-19,684.00,697.00,683.00,688.70,341000,688.70
2012-03-16,653.15,696.80,650.00,676.95,727700,676.95
2012-03-15,669.00,669.95,656.55,659.10,150400,659.10
2012-03-14,665.00,681.40,661.90,669.65,276600,669.65
2012-03-13,665.00,669.00,652.80,656.90,302500,656.90
2012-03-12,688.00,689.90,662.00,688.00,172400,688.00
2012-03-09,683.00,684.00,661.10,676.25,284100,676.25
2012-03-07,671.50,681.65,667.00,673.75,131100,673.75
2012-03-06,677.00,691.50,672.00,680.45,135800,680.45
2012-03-05,681.00,683.95,668.40,676.15,253400,676.15
2012-03-02,688.00,689.15,674.50,679.85,231800,679.85
2012-03-01,709.90,709.90,669.15,681.65,374800,681.65
2012-02-29,708.00,717.50,690.05,707.65,240700,707.65
2012-02-28,700.00,711.00,698.25,704.20,202500,704.20
2012-02-27,730.00,731.45,691.25,695.65,163600,695.65
2012-02-24,736.20,739.15,720.10,729.25,145500,729.25
2012-02-23,741.00,744.65,718.00,724.60,159400,724.60
2012-02-22,765.00,766.85,736.90,741.75,189700,741.75
2012-02-21,749.40,766.40,738.00,759.95,278000,759.95
2012-02-17,737.00,752.60,730.15,749.30,440200,749.30
2012-02-16,738.90,738.90,713.50,725.45,266700,725.45
2012-02-15,725.00,749.90,724.90,735.40,570800,735.40
2012-02-14,705.55,719.70,704.80,717.00,261300,717.00
2012-02-13,692.00,707.55,692.00,703.40,187600,703.40
2012-02-10,703.00,711.80,685.25,691.05,336700,691.05
2012-02-09,684.00,704.00,682.50,700.55,190100,700.55
2012-02-08,683.60,697.40,672.25,686.75,383300,686.75
2012-02-07,712.80,720.00,685.50,689.45,664800,689.45
2012-02-06,720.00,723.85,702.00,709.90,245800,709.90
2012-02-03,700.20,717.65,696.90,710.60,398000,710.60
2012-02-02,698.70,710.65,690.15,699.80,308100,699.80
2012-02-01,672.20,699.00,672.20,688.55,483600,688.55
2012-01-31,674.70,677.90,664.10,672.85,258200,672.85
2012-01-30,694.20,699.00,661.25,665.20,222000,665.20
2012-01-27,692.50,704.20,685.00,698.10,296700,698.10
2012-01-25,690.00,693.00,681.15,686.55,165200,686.55
2012-01-24,662.80,689.10,657.50,685.15,354500,685.15
2012-01-23,658.00,666.00,654.90,661.60,360500,661.60
2012-01-20,678.00,680.00,646.05,656.40,680700,656.40
2012-01-19,696.90,696.90,671.10,674.40,384500,674.40
2012-01-18,707.05,710.00,674.05,685.95,413400,685.95
2012-01-17,695.00,709.40,690.70,706.00,232100,706.00
2012-01-16,689.00,692.00,682.25,688.90,194400,688.90
2012-01-13,689.20,698.50,682.10,691.95,342100,691.95
2012-01-12,680.70,688.00,671.50,684.80,225000,684.80
2012-01-11,691.70,691.70,669.10,678.80,266800,678.80
2012-01-10,656.00,695.00,656.00,689.85,340900,689.85
2012-01-06,649.00,658.80,639.25,656.25,340900,656.25
2012-01-05,639.50,651.50,628.20,649.85,744700,649.85
2012-01-04,668.00,668.00,636.00,638.20,535600,638.20
2012-01-03,680.00,681.95,656.50,666.50,485600,666.50
2012-01-02,691.00,692.00,670.00,673.85,269300,673.85
2011-12-30,689.80,694.70,676.80,683.05,171100,683.05
2011-12-29,684.00,697.00,677.00,686.60,256800,686.60
2011-12-28,703.00,707.60,680.15,686.75,122300,686.75
2011-12-27,703.90,711.40,692.45,703.60,174500,703.60
2011-12-26,699.55,706.00,693.10,702.10,135500,702.10
2011-12-23,693.00,706.95,692.00,694.10,181300,694.10
2011-12-22,665.00,695.90,665.00,693.30,169000,693.30
2011-12-21,662.00,695.85,653.00,689.80,299400,689.80
2011-12-20,654.00,658.30,633.40,650.95,407500,650.95
2011-12-19,662.50,664.00,642.55,652.45,131700,652.45
2011-12-16,666.00,687.55,648.80,659.30,265600,659.30
2011-12-15,669.00,674.80,659.00,665.55,348100,665.55
2011-12-14,700.00,704.00,671.10,675.55,251100,675.55
2011-12-13,682.80,706.20,675.00,700.30,364600,700.30
2011-12-12,710.00,714.00,681.00,684.05,385200,684.05
2011-12-09,718.00,720.00,698.00,703.75,391100,703.75
2011-12-08,758.00,759.60,722.10,730.15,144500,730.15
2011-12-07,750.00,762.55,749.10,757.45,189600,757.45
2011-12-05,748.00,757.40,742.10,750.05,92800,750.05
2011-12-02,734.80,749.90,722.10,748.05,170800,748.05
2011-12-01,743.10,754.40,725.10,729.80,259600,729.80
2011-11-30,720.75,728.00,704.00,723.85,210100,723.85
2011-11-29,718.00,729.65,708.35,725.05,375800,725.05
2011-11-28,714.95,723.55,703.20,713.65,191300,713.65
2011-11-25,707.00,724.80,697.00,706.30,145800,706.30
2011-11-24,700.00,718.70,686.45,713.40,281600,713.40
2011-11-23,705.10,706.35,681.70,695.55,209800,695.55
2011-11-22,720.00,730.90,702.00,709.60,276800,709.60
2011-11-21,737.10,744.35,712.00,717.70,427800,717.70
2011-11-18,760.00,760.00,722.80,737.80,309600,737.80
2011-11-17,775.00,778.00,754.50,758.55,322900,758.55
2011-11-16,770.00,780.45,756.00,773.35,348900,773.35
2011-11-15,792.00,794.50,753.90,759.00,328500,759.00
2011-11-14,845.00,849.75,782.70,790.40,479600,790.40
2011-11-11,812.00,844.70,805.50,838.40,266600,838.40
2011-11-09,840.00,840.00,810.05,813.00,91800,813.00
2011-11-08,840.30,845.90,830.50,833.65,99800,833.65
2011-11-04,841.00,849.80,831.35,835.05,427900,835.05
2011-11-03,843.00,845.90,827.00,838.30,145900,838.30
2011-11-02,834.00,848.90,829.00,838.70,129800,838.70
2011-11-01,855.00,862.95,832.00,834.05,202700,834.05
2011-10-31,870.00,870.05,851.00,863.20,118900,863.20
2011-10-28,860.00,874.75,856.00,868.50,179600,868.50
2011-10-26,850.00,855.00,844.00,849.45,45600,849.45
2011-10-25,810.25,856.90,808.95,853.20,286900,853.20
2011-10-24,808.00,814.50,807.00,808.80,56700,808.80
2011-10-21,801.00,809.80,796.00,801.10,63700,801.10
2011-10-20,811.00,811.00,786.65,800.20,124600,800.20
2011-10-19,810.00,816.50,808.00,810.40,93700,810.40
2011-10-18,806.90,808.90,796.35,805.65,107200,805.65
2011-10-17,806.20,819.00,806.00,810.55,99900,810.55
2011-10-14,797.00,809.00,796.00,805.60,134600,805.60
2011-10-13,813.00,814.50,793.90,798.90,139800,798.90
2011-10-12,799.10,812.00,784.40,808.05,153300,808.05
2011-10-11,811.50,814.45,794.00,798.50,224200,798.50
2011-10-10,790.50,810.85,790.50,806.10,216800,806.10
2011-10-07,792.50,804.90,791.05,795.95,114100,795.95
2011-10-05,781.00,794.80,777.25,784.45,109000,784.45
2011-10-04,805.00,813.20,775.00,777.90,154600,777.90
2011-10-03,800.00,817.70,797.00,809.35,262900,809.35
2011-09-30,812.00,819.80,800.50,802.55,152000,802.55
2011-09-29,791.00,820.80,779.00,812.60,521800,812.60
2011-09-28,799.50,800.50,778.00,789.50,75100,789.50
2011-09-27,780.00,799.70,778.70,796.90,94400,796.90
2011-09-26,780.00,780.00,759.10,772.80,124500,772.80
2011-09-23,780.00,787.00,770.65,776.30,166200,776.30
2011-09-22,801.10,807.45,778.55,782.75,135000,782.75
2011-09-21,814.10,817.90,804.65,814.20,201700,814.20
2011-09-20,800.00,819.20,796.50,814.05,387100,814.05
2011-09-19,797.00,802.50,789.00,799.85,178600,799.85
2011-09-16,811.00,814.65,795.00,797.85,487800,797.85
2011-09-15,798.00,810.00,791.90,803.30,424400,803.30
2011-09-14,786.00,802.60,784.10,792.70,479000,792.70
2011-09-13,785.00,795.00,766.00,785.20,155100,785.20
2011-09-12,780.00,788.05,773.40,782.45,96600,782.45
2011-09-09,790.95,802.00,788.00,791.30,144600,791.30
2011-09-08,791.00,795.95,781.50,790.70,269600,790.70
2011-09-07,799.10,809.80,780.10,786.55,249200,786.55
2011-09-06,764.00,796.50,761.00,794.45,492600,794.45
2011-09-05,761.90,774.00,755.50,769.00,178300,769.00
2011-09-02,740.00,770.00,740.00,766.10,236600,766.10
