Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,172.25,172.25,165.00,165.15,1450900,165.15
2012-03-23,171.25,173.25,170.45,172.00,635600,172.00
2012-03-21,172.00,176.25,171.65,176.00,2121300,176.00
2012-03-20,170.65,174.30,169.25,171.95,1585700,171.95
2012-03-19,173.45,174.80,171.15,171.50,1208200,171.50
2012-03-16,179.20,181.30,171.20,172.00,1665500,172.00
2012-03-15,177.60,180.00,177.00,179.20,2601700,179.20
2012-03-14,175.00,178.00,174.30,178.00,1655400,178.00
2012-03-13,172.65,174.60,172.60,174.20,1078600,174.20
2012-03-12,175.00,176.00,170.35,172.00,2131100,172.00
2012-03-09,172.45,174.65,170.05,173.80,2575000,173.80
2012-03-07,173.00,174.40,169.60,170.00,1328700,170.00
2012-03-06,174.50,179.75,173.00,173.65,1033600,173.65
2012-03-05,177.80,178.35,174.35,176.70,970400,176.70
2012-03-02,177.95,180.80,176.35,179.50,1750700,179.50
2012-03-01,181.50,182.70,174.70,176.35,1697100,176.35
2012-02-29,180.90,183.45,179.60,181.60,1439100,181.60
2012-02-28,181.00,183.80,179.60,179.90,1433000,179.90
2012-02-27,185.00,185.00,175.50,180.50,4290600,180.50
2012-02-24,185.05,187.40,182.30,183.45,2656600,183.45
2012-02-23,182.15,186.00,180.20,185.00,2026300,185.00
2012-02-22,185.50,187.60,181.20,182.85,1705200,182.85
2012-02-21,187.15,189.90,184.85,185.50,2558100,185.50
2012-02-17,186.00,190.75,184.85,187.00,4331400,187.00
2012-02-16,183.90,185.60,182.60,183.85,5395900,183.85
2012-02-15,181.75,184.45,179.80,182.00,4058300,182.00
2012-02-14,180.15,183.40,180.10,181.75,1420800,181.75
2012-02-13,180.00,182.35,179.30,180.80,1376900,180.80
2012-02-10,179.90,181.45,178.65,180.05,1451000,180.05
2012-02-09,177.00,181.00,176.55,180.50,2395800,180.50
2012-02-08,175.50,178.90,175.45,177.20,1164900,177.20
2012-02-07,177.55,178.45,174.55,175.15,1011100,175.15
2012-02-06,178.00,178.30,174.50,176.85,2817500,176.85
2012-02-03,171.10,177.40,171.10,176.80,1715200,176.80
2012-02-02,172.00,173.15,170.60,171.60,3892400,171.60
2012-02-01,172.00,173.65,170.05,171.10,2472700,171.10
2012-01-31,170.40,172.55,169.25,171.30,2316400,171.30
2012-01-30,171.55,174.90,170.75,172.00,2902700,172.00
2012-01-27,178.15,178.90,172.70,174.25,2300800,174.25
2012-01-25,175.35,177.10,174.25,175.05,3783500,175.05
2012-01-24,175.60,177.15,172.95,174.30,2218600,174.30
2012-01-23,173.05,177.50,173.05,174.00,2649300,174.00
2012-01-20,171.95,175.80,171.05,174.50,3389700,174.50
2012-01-19,165.20,172.50,165.00,172.50,4726100,172.50
2012-01-18,167.20,169.20,163.40,164.25,2501300,164.25
2012-01-17,162.95,167.80,162.80,166.90,3354000,166.90
2012-01-16,164.75,165.90,161.55,161.75,1912400,161.75
2012-01-13,161.90,166.85,160.95,166.50,3381700,166.50
2012-01-12,160.90,162.40,159.75,160.95,2483100,160.95
2012-01-11,158.80,160.45,157.50,159.10,6377200,159.10
2012-01-10,158.95,160.15,156.75,157.80,6326700,157.80
2012-01-06,156.50,157.50,155.25,156.90,2186800,156.90
2012-01-05,160.45,160.90,155.05,156.70,2664000,156.70
2012-01-04,161.00,161.00,158.75,160.10,1563400,160.10
2012-01-03,159.50,161.50,158.70,160.45,1783600,160.45
2012-01-02,160.85,160.85,157.00,158.00,1170000,158.00
2011-12-30,161.00,162.45,159.20,160.05,1601000,160.05
2011-12-29,161.50,161.60,158.70,161.35,2094100,161.35
2011-12-28,158.00,162.40,157.15,161.50,2118600,161.50
2011-12-27,161.00,161.35,155.55,157.15,1753800,157.15
2011-12-26,158.80,161.10,158.70,161.00,1493000,161.00
2011-12-23,164.50,165.50,157.60,158.35,2309600,158.35
2011-12-22,160.80,164.40,159.15,164.20,2163800,164.20
2011-12-21,157.00,162.20,155.15,161.75,3180400,161.75
2011-12-20,160.30,161.80,154.10,154.65,3952300,154.65
2011-12-19,161.00,161.25,156.55,160.05,2479500,160.05
2011-12-16,166.10,170.25,159.40,161.00,3684000,161.00
2011-12-15,162.90,167.50,159.10,167.40,2987700,167.40
2011-12-14,166.50,166.95,163.20,163.30,2805500,163.30
