Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,412.50,421.75,409.00,411.90,338200,411.90
2012-03-23,413.00,417.55,405.00,417.00,207200,417.00
2012-03-21,401.15,424.00,401.15,423.00,663600,423.00
2012-03-20,399.00,405.90,395.00,401.40,474900,401.40
2012-03-19,413.00,413.00,398.50,400.50,349000,400.50
2012-03-16,416.80,419.90,409.65,411.00,335200,411.00
2012-03-15,421.60,424.90,410.00,411.75,364400,411.75
2012-03-14,429.00,429.85,422.20,425.50,208800,425.50
2012-03-13,418.00,429.00,418.00,426.55,387500,426.55
2012-03-12,427.90,427.90,414.60,416.80,258700,416.80
2012-03-09,425.10,426.50,414.60,416.50,355000,416.50
2012-03-07,416.95,421.00,407.20,420.50,271700,420.50
2012-03-06,419.00,425.90,410.25,413.55,404400,413.55
2012-03-05,426.00,427.80,415.95,416.50,316500,416.50
2012-03-02,426.70,431.90,423.35,428.30,255300,428.30
2012-03-01,431.00,433.15,423.10,424.00,296900,424.00
2012-02-29,431.05,439.90,423.10,428.05,567200,428.05
2012-02-28,424.80,431.35,422.80,430.00,423100,430.00
2012-02-27,425.00,433.50,422.05,422.50,593000,422.50
2012-02-24,436.10,444.70,425.15,426.50,622700,426.50
2012-02-23,444.00,446.40,429.35,441.00,1810700,441.00
2012-02-22,450.25,452.65,434.00,441.95,431000,441.95
2012-02-21,448.55,454.20,445.30,448.90,752500,448.90
2012-02-17,455.00,458.90,446.10,449.50,659100,449.50
2012-02-16,442.75,453.40,442.75,449.55,624900,449.55
2012-02-15,436.40,444.90,436.10,441.90,562900,441.90
2012-02-14,439.00,441.05,433.00,434.85,489200,434.85
2012-02-13,442.40,447.65,437.00,438.30,480100,438.30
2012-02-10,451.85,457.50,440.35,440.50,510900,440.50
2012-02-09,452.60,456.40,450.10,451.00,285200,451.00
2012-02-08,457.00,460.00,449.40,454.25,418700,454.25
2012-02-07,451.00,458.95,451.00,456.00,739600,456.00
2012-02-06,457.00,461.00,448.10,449.00,561900,449.00
2012-02-03,461.35,468.75,451.15,451.40,1116200,451.40
2012-02-02,446.50,461.00,445.20,460.10,646400,460.10
2012-02-01,449.00,452.00,442.25,444.50,493600,444.50
2012-01-31,451.60,456.50,446.80,449.00,743100,449.00
2012-01-30,440.90,453.95,432.30,449.15,1149300,449.15
2012-01-27,449.95,457.80,442.00,442.15,2805200,442.15
2012-01-25,469.65,479.00,466.10,474.40,964500,474.40
2012-01-24,461.50,469.90,456.00,467.00,630800,467.00
2012-01-23,469.25,474.50,462.10,462.70,282700,462.70
2012-01-20,465.25,473.70,460.60,471.50,330800,471.50
2012-01-19,460.00,465.00,456.65,465.00,293000,465.00
2012-01-18,464.00,465.55,448.55,456.00,410800,456.00
2012-01-17,471.05,472.05,460.70,464.00,1668400,464.00
2012-01-16,463.50,471.95,454.00,471.00,443900,471.00
2012-01-13,453.90,467.50,450.80,466.05,1088600,466.05
2012-01-12,441.00,456.00,440.60,453.00,1457400,453.00
2012-01-11,441.00,445.70,435.00,444.00,485800,444.00
