Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,89.30,89.85,86.05,86.35,5916800,86.35
2012-03-23,89.00,90.80,87.30,89.65,7575000,89.65
2012-03-21,91.10,93.50,90.20,93.25,6371100,93.25
2012-03-20,90.05,92.20,89.30,91.10,8168500,91.10
2012-03-19,94.45,94.65,88.75,89.95,8487400,89.95
2012-03-16,94.40,95.75,91.30,91.65,8625200,91.65
2012-03-15,97.15,97.20,93.75,93.75,9645700,93.75
2012-03-14,101.75,101.80,98.00,98.50,12403000,98.50
2012-03-13,97.25,101.40,96.80,100.40,13159700,100.40
2012-03-12,95.80,97.50,94.35,96.65,11047100,96.65
2012-03-09,93.65,95.50,93.10,94.70,9328500,94.70
2012-03-07,90.30,92.90,89.15,92.10,13614900,92.10
2012-03-06,96.90,98.85,91.00,91.25,19951100,91.25
2012-03-05,95.95,99.80,94.80,96.15,26328800,96.15
2012-03-02,96.20,96.40,93.35,93.60,8642200,93.60
2012-03-01,94.30,96.50,92.90,94.70,14054800,94.70
2012-02-29,95.60,97.20,91.60,94.15,15970600,94.15
2012-02-28,89.25,94.90,88.65,94.35,13896500,94.35
2012-02-27,93.90,94.20,86.80,87.15,11586900,87.15
2012-02-24,97.40,97.95,92.50,93.25,10837300,93.25
2012-02-23,97.45,98.75,93.45,96.80,17797500,96.80
2012-02-22,108.15,109.70,94.75,97.10,23310100,97.10
2012-02-21,104.80,108.35,103.80,107.00,16068500,107.00
2012-02-17,106.75,107.65,103.05,104.15,22170000,104.15
2012-02-16,105.50,106.50,101.10,102.05,27862500,102.05
2012-02-15,100.50,105.50,99.50,104.55,24887600,104.55
2012-02-14,92.55,99.60,92.25,99.30,24529700,99.30
2012-02-13,92.40,94.80,90.60,93.90,11526700,93.90
2012-02-10,94.40,96.90,92.55,93.40,15080800,93.40
2012-02-09,92.75,96.00,92.20,94.80,22231300,94.80
2012-02-08,90.45,93.75,89.10,93.30,22383800,93.30
2012-02-07,94.00,94.65,90.10,91.20,12893700,91.20
2012-02-06,96.20,97.00,93.40,93.95,13114900,93.95
2012-02-03,97.30,97.35,92.00,93.40,22009500,93.40
2012-02-02,101.95,102.00,91.15,96.10,45493300,96.10
2012-02-01,98.65,101.45,98.10,100.70,12026200,100.70
2012-01-31,94.00,99.90,93.60,99.80,10444800,99.80
2012-01-30,95.50,98.45,91.30,92.50,9037100,92.50
2012-01-27,97.00,97.60,94.25,96.15,7931400,96.15
2012-01-25,95.60,97.15,93.80,95.80,10371500,95.80
2012-01-24,92.00,95.95,90.20,94.35,11361200,94.35
2012-01-23,90.00,92.65,89.15,91.70,6309000,91.70
2012-01-20,93.10,93.20,88.65,90.40,8564000,90.40
2012-01-19,90.30,92.50,89.50,92.30,10599800,92.30
2012-01-18,89.90,91.80,86.75,87.95,13314200,87.95
2012-01-17,86.90,91.30,86.90,88.75,16509900,88.75
2012-01-16,87.90,87.90,84.80,86.15,8682400,86.15
2012-01-13,83.40,89.20,83.00,88.00,16788100,88.00
2012-01-12,82.50,83.75,80.25,82.85,8074500,82.85
2012-01-11,81.05,83.85,80.05,82.10,10797500,82.10
2012-01-10,78.45,81.65,78.40,80.80,10903500,80.80
2012-01-06,73.30,79.95,70.70,77.65,19612800,77.65
2012-01-05,73.10,75.00,72.75,73.50,5111800,73.50
2012-01-04,74.30,74.30,72.10,73.00,4715900,73.00
