Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,743.90,743.90,727.00,728.65,5288300,728.65
2012-03-23,743.80,749.50,738.10,744.60,6161800,744.60
2012-03-21,760.00,773.50,755.10,768.95,3248500,768.95
2012-03-20,756.10,766.40,750.30,758.00,2389900,758.00
2012-03-19,781.00,783.00,751.10,755.80,3652400,755.80
2012-03-16,780.00,797.70,767.35,769.00,5753000,769.00
2012-03-15,818.00,821.20,793.40,795.00,4630600,795.00
2012-03-14,828.00,830.00,806.70,815.65,4028500,815.65
2012-03-13,803.45,821.95,803.30,821.00,3684000,821.00
2012-03-12,790.00,803.00,779.70,797.00,3438300,797.00
2012-03-09,775.30,779.60,769.20,773.50,3942900,773.50
2012-03-07,776.55,777.50,751.00,764.00,6446700,764.00
2012-03-06,797.00,809.00,774.00,775.45,8029900,775.45
2012-03-05,812.05,814.00,794.25,798.00,2988600,798.00
2012-03-02,816.25,818.00,805.75,814.00,2900000,814.00
2012-03-01,811.80,818.70,801.10,810.45,2962500,810.45
2012-02-29,805.05,827.90,804.15,814.90,6365300,814.90
2012-02-28,789.05,800.35,787.70,795.90,5289400,795.90
2012-02-27,821.80,825.60,765.35,779.00,6348200,779.00
2012-02-24,833.50,841.70,814.50,819.85,4285000,819.85
2012-02-23,832.00,849.90,826.60,832.60,4367200,832.60
2012-02-22,848.00,857.40,830.10,834.00,5748100,834.00
2012-02-21,817.50,848.75,815.10,840.40,8333600,840.40
2012-02-17,822.05,826.40,810.20,815.95,8211300,815.95
2012-02-16,831.00,831.00,804.70,811.00,6342500,811.00
2012-02-15,854.20,855.75,833.05,838.45,7182300,838.45
2012-02-14,846.90,856.40,843.00,850.10,3134200,850.10
2012-02-13,841.10,858.80,841.00,847.50,3493600,847.50
2012-02-10,850.35,859.00,838.00,843.75,3417900,843.75
2012-02-09,856.75,859.90,842.60,855.00,4309100,855.00
2012-02-08,847.00,864.70,845.00,860.00,3647600,860.00
2012-02-07,842.00,852.70,834.25,845.25,4815900,845.25
2012-02-06,845.90,849.50,824.10,832.40,3984400,832.40
2012-02-03,830.00,840.00,815.65,836.00,4569200,836.00
2012-02-02,835.00,842.70,824.15,826.15,4901900,826.15
2012-02-01,818.90,834.00,816.00,833.30,3776800,833.30
2012-01-31,804.50,820.80,801.40,817.50,6264400,817.50
2012-01-30,813.90,818.85,792.20,794.25,4829000,794.25
2012-01-27,800.00,827.90,799.00,817.00,5565400,817.00
2012-01-25,788.70,795.00,782.80,791.00,3837200,791.00
2012-01-24,774.60,791.60,770.40,781.50,5095400,781.50
2012-01-23,755.30,779.75,755.20,772.00,6457500,772.00
2012-01-20,790.00,800.00,772.05,794.10,7251800,794.10
2012-01-19,789.00,795.95,782.10,784.40,5483500,784.40
2012-01-18,762.00,787.90,758.05,773.65,9248700,773.65
2012-01-17,716.00,744.40,716.00,740.30,5197600,740.30
2012-01-16,729.95,729.95,711.00,715.25,4067400,715.25
2012-01-13,742.00,750.95,728.10,731.95,4692900,731.95
2012-01-12,747.50,752.95,732.60,740.00,3251600,740.00
2012-01-11,737.90,753.00,731.50,747.85,4842100,747.85
2012-01-10,712.00,739.00,712.00,734.35,4507700,734.35
2012-01-06,697.05,724.00,696.65,718.15,4703100,718.15
2012-01-05,715.00,724.95,694.10,702.00,6619500,702.00
2012-01-04,727.40,730.95,713.35,714.80,4238300,714.80
2012-01-03,712.25,726.90,710.35,723.55,4683400,723.55
2012-01-02,696.80,709.75,687.15,707.10,4299200,707.10
2011-12-30,713.00,720.55,689.00,693.10,6662300,693.10
2011-12-29,733.65,739.00,707.20,709.70,5449500,709.70
2011-12-28,757.70,758.50,735.35,736.10,2829000,736.10
2011-12-27,766.00,768.70,745.35,754.05,3074300,754.05
2011-12-26,747.05,764.80,745.55,759.30,2376400,759.30
2011-12-23,760.00,769.75,742.40,745.50,3511000,745.50
2011-12-22,741.35,760.30,733.00,758.30,4473700,758.30
2011-12-21,727.00,753.75,722.70,753.05,4563400,753.05
2011-12-20,741.70,741.70,709.20,711.75,5550500,711.75
2011-12-19,719.20,739.90,715.15,736.00,4714100,736.00
2011-12-16,749.00,844.60,716.05,720.00,5828700,720.00
2011-12-15,731.90,754.50,723.50,750.85,6611100,750.85
2011-12-14,738.00,753.90,733.40,739.70,5304700,739.70
2011-12-13,723.90,746.00,721.00,743.65,5228400,743.65
2011-12-12,760.55,762.00,724.00,726.80,5097000,726.80
2011-12-09,769.90,769.90,752.70,753.40,5044800,753.40
2011-12-08,802.00,807.70,772.10,777.05,4442600,777.05
2011-12-07,807.00,819.50,803.20,804.10,3514100,804.10
2011-12-05,808.35,812.20,798.35,808.35,3160800,808.35
2011-12-02,797.00,815.00,786.55,813.25,4479800,813.25
2011-12-01,799.00,810.75,795.20,798.75,4714900,798.75
2011-11-30,756.70,783.30,753.10,783.25,4569100,783.25
2011-11-29,782.00,782.00,759.15,761.10,4803400,761.10
