Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,94.80,94.80,92.10,92.85,2001600,92.85
2012-03-23,94.15,96.20,93.05,95.00,2438400,95.00
2012-03-21,94.50,98.65,93.00,97.90,3260800,97.90
2012-03-20,93.50,95.00,92.85,94.70,2204200,94.70
2012-03-19,96.05,96.75,92.80,93.25,2549100,93.25
2012-03-16,98.50,100.50,95.00,96.20,3581700,96.20
2012-03-15,100.00,100.00,98.00,98.60,2779300,98.60
2012-03-14,102.70,102.95,99.70,100.05,3351400,100.05
2012-03-13,97.30,101.50,97.05,101.25,5270400,101.25
2012-03-12,97.00,97.00,94.00,96.65,4136400,96.65
2012-03-09,92.90,95.20,92.50,94.85,6453700,94.85
2012-03-07,92.50,94.10,89.80,90.75,5298500,90.75
2012-03-06,96.00,99.35,91.40,92.00,4725400,92.00
2012-03-05,101.20,101.25,89.60,96.50,3036100,96.50
2012-03-02,102.80,103.30,100.80,101.40,2592600,101.40
2012-03-01,104.00,104.75,98.00,101.15,4693500,101.15
2012-02-29,101.60,104.25,100.45,103.25,6227100,103.25
2012-02-28,98.20,100.80,96.75,100.30,5338800,100.30
2012-02-27,105.85,106.05,95.90,96.25,4591500,96.25
2012-02-24,105.10,106.70,103.55,105.75,3550600,105.75
2012-02-23,106.25,106.25,103.35,104.75,4220500,104.75
2012-02-22,112.40,113.00,105.80,106.00,4031900,106.00
2012-02-21,112.70,114.40,110.80,111.70,5912700,111.70
2012-02-17,112.00,115.90,111.00,111.60,6098400,111.60
2012-02-16,111.80,112.50,110.20,111.05,2327800,111.05
2012-02-15,111.40,113.80,110.80,112.25,17719200,112.25
2012-02-14,109.00,111.50,108.90,110.25,2758500,110.25
2012-02-13,113.10,114.95,108.30,109.50,10024100,109.50
2012-02-10,108.70,114.10,108.00,112.95,6238300,112.95
2012-02-09,103.80,109.45,103.80,108.90,3284700,108.90
2012-02-08,107.50,107.95,104.10,104.90,4368300,104.90
2012-02-07,107.90,109.50,105.15,105.50,4360700,105.50
2012-02-06,106.10,108.85,106.10,106.70,4244700,106.70
2012-02-03,105.40,107.20,104.40,104.70,3689400,104.70
2012-02-02,105.90,106.75,102.00,105.15,3652200,105.15
2012-02-01,101.05,106.00,101.05,104.80,5360300,104.80
2012-01-31,100.40,102.85,99.75,101.70,4187200,101.70
2012-01-30,105.20,105.20,99.55,99.85,5078500,99.85
2012-01-27,100.00,107.45,99.00,105.20,10175600,105.20
2012-01-25,95.60,98.90,95.30,98.00,8473900,98.00
2012-01-24,93.00,96.20,92.10,94.50,5749600,94.50
2012-01-23,91.70,93.50,91.50,92.05,2418700,92.05
2012-01-20,91.75,93.00,89.85,91.75,4050900,91.75
2012-01-19,92.10,93.15,90.60,90.85,3618800,90.85
2012-01-18,94.55,95.30,90.30,90.35,3775900,90.35
2012-01-17,92.55,95.80,92.50,94.25,4556600,94.25
2012-01-16,92.15,92.45,89.70,91.60,3886300,91.60
2012-01-13,93.30,95.30,91.90,92.10,8087100,92.10
2012-01-12,91.45,93.40,90.85,91.45,2211300,91.45
2012-01-11,88.75,92.50,88.30,91.25,5750400,91.25
2012-01-10,85.90,88.50,85.90,88.25,3272000,88.25
2012-01-06,83.50,84.90,82.10,84.65,2395800,84.65
2012-01-05,85.00,85.80,83.60,84.00,1959100,84.00
2012-01-04,85.15,86.50,84.50,84.80,4293200,84.80
2012-01-03,82.00,84.00,82.00,83.65,2430100,83.65
2012-01-02,81.90,82.75,79.70,81.35,2708800,81.35
2011-12-30,80.90,82.25,80.25,81.30,3942300,81.30
2011-12-29,79.80,81.50,78.50,80.75,4881800,80.75
2011-12-28,80.35,80.70,79.00,79.80,2131200,79.80
2011-12-27,81.20,81.50,79.50,80.25,2813800,80.25
2011-12-26,80.45,81.70,80.25,80.55,1696500,80.55
2011-12-23,80.20,82.50,79.75,80.05,4156200,80.05
2011-12-22,80.00,80.50,77.40,79.80,3617000,79.80
2011-12-21,79.65,80.95,78.50,80.75,4120400,80.75
2011-12-20,77.20,79.10,76.15,77.25,6179200,77.25
2011-12-19,74.50,77.80,73.20,77.35,5140600,77.35
2011-12-16,77.70,79.20,73.50,74.75,4742500,74.75
2011-12-15,77.25,78.00,75.75,77.25,3684100,77.25
2011-12-14,80.50,81.15,77.50,77.90,5714700,77.90
2011-12-13,78.20,81.90,76.65,81.70,6174300,81.70
2011-12-12,84.00,84.00,77.60,78.00,7639900,78.00
2011-12-09,86.00,86.10,82.40,82.70,8519000,82.70
2011-12-08,86.60,88.40,83.80,87.30,14614400,87.30
2011-12-07,85.75,88.45,85.30,86.40,9074900,86.40
2011-12-05,87.50,88.40,85.00,85.05,6924700,85.05
2011-12-02,86.00,87.95,84.75,86.95,6492500,86.95
2011-12-01,84.00,86.40,83.60,85.60,11111100,85.60
2011-11-30,82.90,83.40,79.90,80.50,33204100,80.50
2011-11-29,86.45,86.45,82.45,84.00,10183800,84.00
2011-11-28,84.00,86.00,83.00,85.50,5786800,85.50
