Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,779.00,782.00,761.25,769.30,116700,769.30
2012-03-23,790.00,792.25,772.35,779.00,117500,779.00
2012-03-21,784.20,811.70,774.10,800.05,159600,800.05
2012-03-20,778.60,788.90,768.00,777.75,154500,777.75
2012-03-19,774.90,783.15,754.10,781.00,138100,781.00
2012-03-16,800.00,815.00,762.40,767.05,210300,767.05
2012-03-15,810.00,812.00,790.55,802.50,133800,802.50
2012-03-14,811.00,818.05,806.05,813.00,120700,813.00
2012-03-13,813.95,819.40,802.30,807.65,172500,807.65
2012-03-12,800.00,812.00,790.00,812.00,168100,812.00
2012-03-09,789.95,807.70,782.95,783.00,162600,783.00
2012-03-07,785.00,796.95,776.00,786.00,100000,786.00
2012-03-06,765.00,794.60,760.05,787.10,174100,787.10
2012-03-05,791.00,796.00,742.90,765.00,151300,765.00
2012-03-02,812.70,823.00,790.00,791.10,150500,791.10
2012-03-01,791.00,817.00,782.10,816.00,128400,816.00
2012-02-29,815.00,823.90,790.00,790.00,100500,790.00
2012-02-28,778.00,815.95,768.10,814.60,195300,814.60
2012-02-27,790.00,798.00,752.10,769.00,182200,769.00
2012-02-24,800.00,822.00,787.00,787.00,167400,787.00
2012-02-23,808.00,825.00,800.20,812.00,330500,812.00
2012-02-22,829.90,834.80,800.00,809.20,171500,809.20
2012-02-21,823.20,839.00,823.05,825.25,171600,825.25
2012-02-17,801.00,839.80,793.00,831.05,265500,831.05
2012-02-16,798.70,803.95,779.95,802.00,57300,802.00
2012-02-15,796.95,804.40,792.00,797.00,81000,797.00
2012-02-14,803.40,803.40,786.85,790.00,101000,790.00
2012-02-13,791.00,810.90,780.35,799.10,148200,799.10
2012-02-10,801.00,801.00,780.10,792.00,146400,792.00
2012-02-09,787.80,803.30,780.30,799.20,188300,799.20
2012-02-08,780.00,787.75,769.75,787.00,144800,787.00
2012-02-07,780.00,790.00,770.05,770.05,166100,770.05
2012-02-06,754.95,783.60,752.00,780.00,520600,780.00
2012-02-03,731.00,752.00,731.00,751.00,291600,751.00
2012-02-02,735.00,739.05,720.00,732.00,181400,732.00
2012-02-01,718.00,735.95,713.90,731.00,250800,731.00
2012-01-31,740.00,742.90,708.85,727.50,854200,727.50
2012-01-30,747.00,755.90,735.50,742.00,185200,742.00
2012-01-27,759.80,759.80,743.20,755.00,186800,755.00
2012-01-25,768.00,770.00,749.20,753.00,273700,753.00
2012-01-24,749.85,768.00,738.50,760.00,460900,760.00
2012-01-23,752.55,759.90,746.05,749.00,74200,749.00
2012-01-20,743.00,761.60,742.90,750.05,221400,750.05
2012-01-19,750.00,755.00,738.05,739.10,143100,739.10
2012-01-18,752.85,756.50,735.75,742.90,142400,742.90
2012-01-17,723.60,755.50,723.60,750.85,167200,750.85
2012-01-16,720.80,726.35,715.50,723.05,117600,723.05
2012-01-13,728.80,728.90,708.00,721.00,139600,715.00
2012-01-12,707.00,739.60,701.50,723.00,142800,716.98
2012-01-11,705.95,712.70,698.65,704.20,67400,698.34
2012-01-10,681.00,711.00,681.00,706.00,132200,700.12
2012-01-06,660.00,671.55,647.10,669.00,128100,663.43
2012-01-05,660.10,667.00,655.00,660.00,156200,654.51
2012-01-04,669.00,672.95,656.30,662.45,138700,656.94
2012-01-03,644.90,670.00,640.00,667.70,271300,662.14
2012-01-02,646.55,650.00,631.75,638.00,58200,632.69
2011-12-30,640.00,651.90,639.00,639.00,153100,633.68
2011-12-29,656.00,656.00,632.70,637.00,214100,631.70
2011-12-28,669.50,675.00,654.55,655.65,132700,650.19
2011-12-27,653.00,669.40,646.10,668.50,111200,662.94
2011-12-26,659.00,670.80,650.10,653.05,191300,647.62
2011-12-23,650.00,665.00,647.95,665.00,192000,659.47
2011-12-22,655.90,663.75,641.00,648.00,167500,642.61
2011-12-21,640.05,659.00,635.00,654.10,160100,648.66
2011-12-20,643.05,648.90,626.70,632.60,157500,627.34
2011-12-19,647.45,649.00,638.00,638.00,235900,632.69
2011-12-16,668.00,680.00,642.35,655.00,287000,649.55
2011-12-15,665.00,679.40,661.20,668.70,210400,663.14
2011-12-14,673.25,679.80,665.70,669.00,119400,663.43
2011-12-13,680.00,690.00,659.60,681.00,255500,675.33
2011-12-12,700.00,700.00,672.35,680.00,313300,674.34
2011-12-09,704.30,717.05,680.05,680.15,295400,674.49
2011-12-08,722.00,722.85,705.05,709.00,133100,703.10
2011-12-07,720.00,729.00,715.00,724.90,92100,718.87
2011-12-05,724.90,735.00,710.00,718.40,138800,712.42
2011-12-02,698.00,730.00,697.55,727.65,158200,721.59
2011-12-01,705.00,713.00,695.00,700.00,210600,694.17
2011-11-30,697.00,701.40,672.00,686.00,314300,680.29
2011-11-29,710.00,711.70,691.00,697.00,364100,691.20
2011-11-28,704.90,717.15,680.20,712.00,326900,706.07
2011-11-25,679.50,698.50,668.00,691.50,142400,685.75
2011-11-24,681.50,696.75,652.00,685.00,337500,679.30
2011-11-23,699.00,699.00,662.90,682.00,394300,676.32
2011-11-22,729.90,735.00,693.20,700.75,437800,694.92
2011-11-21,732.00,739.95,716.40,722.00,190600,715.99
2011-11-18,717.00,739.80,702.00,733.00,182600,726.90
2011-11-17,748.00,748.00,715.00,720.00,236100,714.01
2011-11-16,782.00,786.00,740.10,755.00,328500,748.72
2011-11-15,816.20,817.00,775.00,776.70,234200,770.24
2011-11-14,831.25,839.00,813.00,814.95,94100,808.17
2011-11-11,825.00,834.75,821.00,829.00,119500,822.10
2011-11-09,851.55,854.95,827.00,829.05,137500,822.15
2011-11-08,859.00,864.65,844.35,852.00,82200,844.91
2011-11-04,855.00,869.00,855.00,860.95,116300,853.79
2011-11-03,846.15,860.00,837.10,859.00,127500,851.85
2011-11-02,840.00,857.00,839.00,849.00,63800,841.93
2011-11-01,855.00,865.00,838.05,844.95,86200,837.92
2011-10-31,852.95,872.30,852.55,855.00,150300,847.88
2011-10-28,849.95,877.40,847.95,852.00,130700,844.91
2011-10-26,844.00,848.00,836.00,839.00,13900,832.02
2011-10-25,828.00,847.00,817.00,835.00,211900,828.05
2011-10-24,835.00,839.90,814.00,815.00,255000,808.22
2011-10-21,817.85,825.00,811.00,825.00,93400,818.13
2011-10-20,825.00,829.75,806.00,812.00,138500,805.24
2011-10-19,821.00,834.85,813.00,834.00,188600,827.06
2011-10-18,813.00,821.45,804.10,815.90,154700,809.11
2011-10-17,841.00,847.70,824.00,825.00,89400,818.13
2011-10-14,843.65,854.70,836.00,843.00,91300,835.98
2011-10-13,848.10,850.75,827.30,840.30,114000,833.31
2011-10-12,841.70,900.00,839.25,843.00,116800,835.98
2011-10-11,837.80,850.00,829.05,835.00,192400,828.05
2011-10-10,836.85,849.90,825.10,831.00,162200,824.08
2011-10-07,835.00,856.70,835.00,838.50,194900,831.52
2011-10-05,826.50,837.80,816.65,826.00,100300,819.13
2011-10-04,820.05,838.90,815.25,833.00,127800,826.07
2011-10-03,827.65,833.95,813.00,828.10,170600,821.21
2011-09-30,854.00,855.70,823.95,838.00,307300,831.03
2011-09-29,837.70,865.00,820.00,860.00,163900,852.84
2011-09-28,867.00,867.00,812.40,826.00,182000,819.13
2011-09-27,847.00,860.00,847.00,855.15,74700,848.03
2011-09-26,855.35,858.00,833.00,845.25,124200,838.22
2011-09-23,856.00,862.40,842.10,854.00,206700,846.89
2011-09-22,873.35,883.00,846.00,851.00,158300,843.92
2011-09-21,876.20,900.00,871.30,894.00,110600,886.56
2011-09-20,855.50,879.80,852.20,878.70,72400,871.39
2011-09-19,860.00,861.60,852.00,858.00,73000,850.86
2011-09-16,848.00,871.90,848.00,864.05,326800,856.86
2011-09-15,855.50,860.00,845.00,851.00,104400,843.92
2011-09-14,855.95,855.95,835.00,849.00,93800,841.93
2011-09-13,841.10,862.85,832.00,850.00,128300,842.93
2011-09-12,846.50,848.90,835.00,838.85,125500,831.87
2011-09-09,869.00,872.15,848.10,850.00,99800,842.93
2011-09-08,871.05,880.95,868.00,869.70,86100,862.46
2011-09-07,864.90,872.40,858.00,870.20,144200,862.96
2011-09-06,867.00,869.70,854.10,856.00,158000,848.88
2011-09-05,871.00,871.00,855.55,865.85,194100,858.64
2011-09-02,897.50,900.00,865.10,866.50,121200,859.29
2011-08-30,870.05,895.00,864.00,894.00,95400,886.56
2011-08-29,855.00,874.20,853.00,871.40,152700,864.15
2011-08-26,870.10,877.90,840.00,853.85,122600,846.74
2011-08-25,862.65,879.90,860.00,871.00,165700,863.75
2011-08-24,873.00,879.90,862.20,864.00,119400,856.81
2011-08-23,883.00,887.30,862.70,873.00,84900,865.74
2011-08-22,870.00,879.70,853.65,872.90,123700,865.64
2011-08-19,850.55,874.80,850.55,861.10,114300,853.93
2011-08-18,872.95,879.75,861.50,869.90,54700,862.66
2011-08-17,861.00,894.00,861.00,875.25,108100,867.97
2011-08-16,871.55,888.00,860.25,866.00,64300,858.79
2011-08-12,885.25,897.70,860.10,869.85,136900,862.61
2011-08-11,867.20,899.00,867.20,885.50,92400,878.13
2011-08-10,878.55,885.00,863.35,875.05,146600,867.77
2011-08-09,860.05,890.00,850.00,875.00,206800,867.72
2011-08-08,875.00,899.00,867.00,884.00,170100,876.64
2011-08-05,890.20,899.95,875.00,899.00,140600,891.52
2011-08-04,912.20,922.00,896.60,901.50,84200,894.00
2011-08-03,910.00,920.00,905.30,913.00,68900,905.40
2011-08-02,915.00,925.00,912.10,919.00,121000,911.35
2011-08-01,917.00,929.50,914.30,918.00,265800,910.36
2011-07-29,944.00,944.00,906.65,923.30,273400,915.62
2011-07-28,918.00,934.80,895.35,926.00,380400,918.29
2011-07-27,935.25,941.90,912.35,918.90,139400,911.25
2011-07-26,944.00,950.00,936.30,942.20,229500,934.36
2011-07-25,928.40,947.00,925.00,943.00,246400,935.15
2011-07-22,926.25,939.00,926.25,932.00,143200,924.24
2011-07-21,914.80,935.25,912.45,928.50,370700,920.77
2011-07-20,909.00,920.95,905.05,915.25,200200,907.63
2011-07-19,898.45,911.00,893.50,908.30,88600,900.74
2011-07-18,906.00,914.00,898.90,899.00,53300,891.52
2011-07-15,909.00,912.30,891.00,907.05,93100,899.50
2011-07-14,922.90,922.95,901.00,902.10,114500,894.59
2011-07-13,912.80,925.00,909.00,918.00,192200,910.36
2011-07-12,919.00,919.00,907.20,909.85,122100,902.28
2011-07-11,917.00,930.00,912.60,916.05,187800,908.43
2011-07-08,888.15,928.00,888.15,916.00,342000,908.38
2011-07-07,876.00,901.90,876.00,893.70,142800,886.26
2011-07-06,888.00,888.90,878.00,880.80,28100,873.47
2011-07-05,891.60,901.90,885.20,887.00,129300,879.62
2011-07-04,890.20,901.95,890.20,895.00,102200,887.55
