Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,448.10,451.60,438.00,440.00,4441800,440.00
2012-03-23,449.15,455.40,442.75,449.40,4716600,449.40
2012-03-21,452.85,474.15,448.05,473.60,4988100,473.60
2012-03-20,449.00,457.00,445.15,454.80,4406800,454.80
2012-03-19,455.00,463.50,446.20,447.75,3355100,447.75
2012-03-16,463.00,473.85,449.85,451.50,5610600,451.50
2012-03-15,461.50,466.90,455.00,462.05,4959700,462.05
2012-03-14,475.00,475.80,458.65,461.50,5732600,461.50
2012-03-13,459.55,469.80,459.55,469.20,4056200,469.20
2012-03-12,460.10,463.30,449.35,454.70,4644700,454.70
2012-03-09,432.00,457.45,432.00,455.60,6535000,455.60
2012-03-07,422.10,429.80,415.95,423.00,7545500,423.00
2012-03-06,448.90,457.00,422.50,423.30,7319500,423.30
2012-03-05,465.00,465.00,448.60,450.00,3487300,450.00
2012-03-02,465.90,472.50,460.25,467.00,3770600,467.00
2012-03-01,471.85,471.85,456.60,461.00,5010700,461.00
2012-02-29,465.00,475.20,459.30,473.85,5538600,473.85
2012-02-28,446.70,462.00,446.40,459.80,5189900,459.80
2012-02-27,477.95,477.95,438.60,443.00,6643600,443.00
2012-02-24,473.15,480.90,466.35,475.95,5976500,475.95
2012-02-23,470.00,478.90,460.40,469.70,6701700,469.70
2012-02-22,492.60,496.80,468.00,471.70,4506500,471.70
2012-02-21,480.20,500.95,480.20,489.75,7654900,489.75
2012-02-17,484.00,489.00,470.50,478.20,5733300,478.20
2012-02-16,491.65,493.20,474.65,476.50,5391800,476.50
2012-02-15,491.00,496.75,487.00,495.35,6471200,495.35
2012-02-14,483.00,491.80,481.35,487.10,6195300,487.10
2012-02-13,476.00,488.85,466.50,485.30,6517500,485.30
2012-02-10,434.00,478.40,432.60,475.30,20927900,475.30
2012-02-09,447.90,454.35,440.00,453.55,9325900,453.55
2012-02-08,454.00,461.80,442.35,451.40,9581100,451.40
2012-02-07,470.00,472.00,449.25,449.70,7493500,449.70
2012-02-06,474.70,478.00,463.05,465.70,5221700,465.70
2012-02-03,474.00,474.00,460.20,464.60,5885800,464.60
2012-02-02,476.00,480.80,464.30,474.80,7992700,474.80
2012-02-01,452.00,474.00,450.85,473.90,8208400,473.90
2012-01-31,444.80,453.45,432.10,452.65,6603500,452.65
2012-01-30,456.00,456.40,437.00,438.50,4650400,438.50
2012-01-27,450.00,462.60,447.50,458.00,5780800,458.00
2012-01-25,435.00,446.90,434.00,442.95,7374300,442.95
2012-01-24,428.00,440.00,421.70,430.55,5801100,430.55
2012-01-23,435.00,437.95,423.10,426.95,4509900,426.95
2012-01-20,438.00,444.50,430.50,437.55,5911500,437.55
2012-01-19,430.00,441.90,430.00,434.60,6538300,434.60
2012-01-18,443.60,445.05,421.35,422.75,7276400,422.75
2012-01-17,423.50,448.40,423.05,442.75,8204400,442.75
2012-01-16,412.50,429.40,408.20,421.00,7948800,421.00
2012-01-13,392.00,424.90,391.90,415.95,12172100,415.95
2012-01-12,383.00,392.50,380.80,392.00,4843700,392.00
2012-01-11,373.65,384.40,371.30,384.05,5621700,384.05
2012-01-10,361.20,373.40,361.20,372.85,5218700,372.85
2012-01-06,359.00,367.80,350.20,364.70,4553100,364.70
2012-01-05,365.00,371.50,359.40,361.85,4174300,361.85
2012-01-04,364.00,367.50,356.30,364.00,5451200,364.00
2012-01-03,345.00,363.80,344.20,360.65,5823100,360.65
2012-01-02,337.90,346.00,332.10,342.45,3845800,342.45
2011-12-30,344.55,346.90,334.00,334.25,4128700,334.25
2011-12-29,344.90,348.75,341.10,341.40,4850500,341.40
2011-12-28,347.65,350.70,343.00,346.15,3236300,346.15
2011-12-27,358.00,359.35,347.15,349.60,3106300,349.60
2011-12-26,349.50,359.70,348.10,357.75,4553500,357.75
